airportID,airlineID
1433,19532
6158,604
6533,21213
3193,14100
6579,18004
6814,2899
2820,17425
1125,4180
2011,3061
2259,7444
2079,10077
6588,20944
4723,1652
7104,13121
4502,16607
6967,1390
2377,7866
5071,9875
4060,11385
3509,4600
844,2038
808,16715
2058,9701
6560,18588
4387,12452
2924,20274
4906,14408
4508,18200
1454,21097
5693,6464
498,2329
2648,54
6913,3225
4632,15015
2144,8552
4454,16912
4462,5032
3592,12921
5496,14678
3507,7640
5062,13096
1315,14562
1630,19087
2908,8533
4784,8652
2802,10712
5304,7913
5584,16124
3330,4683
5348,8794
618,8898
1799,2305
1095,9261
31,2886
6096,13968
2758,10854
5581,7888
1366,7914
5849,7677
3449,4419
2090,15228
5419,8807
3603,11664
5899,18850
6424,823
1447,4652
6898,2213
1472,10295
4309,18893
591,6177
6310,17320
2630,1733
4706,383
2198,14120
1423,5303
3835,19295
5319,11279
2554,19784
3024,16455
3978,21020
5136,2325
3145,8269
2868,16165
528,11381
4743,8422
268,7258
3724,7909
3159,5187
2260,1651
568,2112
3081,16278
7235,5052
6092,14593
3638,1281
950,13741
1971,13145
3032,10408
1487,7669
6572,8601
6191,5100
4045,13919
4926,11229
326,7002
3366,4167
4155,13936
5183,1789
3026,7401
6823,2808
3611,9289
2717,13686
6676,17438
4657,18680
708,1661
963,4269
6703,5471
3048,8231
722,7283
6009,19158
6039,17843
3653,9732
1858,9349
6979,7551
2998,5064
1634,13314
5268,11222
3732,17625
2286,2475
7333,18946
6319,2729
2449,3754
1431,2727
6907,17152
4470,11139
6191,20317
3167,2760
2119,4795
1952,7026
6138,6963
1198,15261
4976,8656
5313,19775
4826,13903
5885,1902
6670,1175
4098,5119
5576,2388
5956,17829
3830,5488
4315,8507
697,10731
1390,832
851,4809
6768,16159
6716,18910
1137,20084
1442,11973
4744,6618
4275,19945
1266,17930
2803,10390
4607,6958
2902,14473
346,15937
1890,9493
5819,10843
3130,6252
3051,16083
1018,13197
3315,9931
3719,2794
97,16265
4836,15205
374,18113
4274,20662
1643,10928
637,8840
5042,16610
837,7897
4769,16449
926,6680
6915,17370
3923,9623
6341,1009
2001,12111
438,12987
4900,5659
6525,6295
2893,4419
6865,21306
2885,9558
2372,1864
2652,9836
5884,21178
6628,10957
2951,6705
2673,2740
4899,14555
41,11322
5693,19263
6414,3119
480,12508
4869,6845
3354,18178
6947,18666
2825,7119
3785,3654
5602,13792
7303,2697
5472,13896
4323,11919
6690,2899
2786,5822
3703,17938
2366,11358
6371,14255
2544,1650
2599,16668
3423,5720
4740,7
3332,17490
1428,14153
6429,5221
2798,2019
4301,17071
3942,11085
1812,4174
6564,6971
5964,19687
5614,9058
2616,15216
4749,2042
5572,5656
932,3316
2950,15630
6913,2101
3295,10682
2518,13526
3063,17228
5496,15606
1306,2635
5429,12273
201,6426
527,15726
3751,13465
2806,10474
4816,2117
3148,20282
1748,9221
6781,12257
6169,5864
4501,2449
5212,16958
1466,12097
6618,18110
5836,20432
3035,4966
3274,20022
2431,10313
5131,3840
3237,14910
3723,17910
7085,2742
2360,17641
5026,19916
699,16667
474,4675
3019,14906
874,550
1261,9642
1832,14835
6688,16338
1363,12995
1686,15636
4483,4253
3670,15942
5836,6099
5683,16028
