luggageHandlerID,flightID
2821,18067
928,12513
245,3514
5020,12517
3586,1851
356,15330
4289,4807
983,3008
2222,624
4305,6530
2985,8755
5650,8346
3766,1547
748,3267
2678,94
4097,13792
2040,14583
2717,8192
3519,6921
5588,5919
945,10513
554,8316
4927,17520
1876,20809
3323,14736
4307,8692
691,3046
4037,207
3085,11835
3142,19424
3797,14064
3491,19484
2713,15096
843,2228
1576,4487
2973,16212
24,16022
3474,18046
416,13038
183,16595
1207,16873
2915,15226
3169,9949
1842,7292
904,6750
802,5953
5267,16873
55,19128
2073,10280
2503,10081
2612,5120
5073,11558
5190,19614
1439,15137
1784,19709
3468,19022
1338,13250
4504,18050
3075,1919
4302,12890
5649,15470
3808,10499
969,13335
2908,13305
5537,20479
2022,13376
4807,2307
349,963
2020,16069
475,18939
2973,2181
440,13759
1201,2496
5350,20932
4950,3908
3409,19830
5544,798
2750,2759
4800,20308
40,15744
1565,18617
415,14665
4626,11841
5267,11175
383,18341
943,2448
2430,11089
3773,15861
43,25
2064,20938
3562,8895
3380,13411
3100,12572
2637,4197
922,9445
1937,15924
405,9445
2414,9758
5698,17989
4764,6110
1735,15726
1996,519
3356,11790
3235,1940
250,6459
1556,8838
63,15686
5481,10708
3886,20170
2735,20102
332,4340
5661,3396
4697,155
2788,8094
5272,11983
614,15169
2298,6548
3694,1297
729,20915
1401,4204
4188,5912
1133,20803
4902,14810
1587,4507
1439,17185
2687,15907
1051,3148
4706,19179
1825,4946
358,13766
2036,20559
4137,14635
1000,19735
2330,14313
829,3922
3146,19333
5059,19910
3198,13686
733,20402
3811,8326
2459,15675
5394,8842
662,14645
3581,381
1063,4673
3948,17346
507,11473
3655,846
528,9128
2106,2211
1695,8177
1515,14263
205,18958
2661,13607
1481,5604
4002,6854
5688,11937
5108,93
5644,16210
1770,11380
1571,6657
3804,13537
1017,3659
3462,34
2914,9885
468,1663
1909,15876
5308,18225
2225,13352
1390,2443
3046,5625
2130,14795
5165,4945
2869,10719
198,3984
2938,10199
5211,18567
1948,16367
2699,17915
3721,6927
3784,11739
3585,860
1135,12495
4500,6050
859,9809
3176,5464
3173,18386
1347,19703
840,3802
4525,20731
4882,5914
2190,1593
4028,473
4847,1240
4457,20984
2941,14622
3729,12879
1893,19299
5149,5904
2246,1431
1777,3557
2384,9793
674,8251
403,14544
5389,13186
5170,13119
5532,156
1404,32
5512,9867
5473,12191
1527,12533
1983,10832
3921,13141
2807,2175
1717,16987
2984,14162
2081,3036
4971,880
1596,9649
1187,17595
3358,7089
5691,9291
4981,12150
296,10513
4502,4977
2355,19735
1114,20174
3227,16664
1740,17862
3016,1601
2725,20928
2866,18979
790,15855
5017,10113
2390,19128
3419,19983
5006,19632
621,9529
2890,9521
3380,3488
2568,16748
2083,14479
5054,8204
359,4936
4590,20872
3610,16161
673,5783
1318,19381
5047,13735
211,18947
3106,14518
2004,3289
2047,20790
5039,8221
4999,1336
2923,8428
5253,2539
3694,17904
4004,1
4845,3805
5362,13349
365,2220
4727,7994
933,10403
436,13158
4276,15279
2764,19100
285,4594
3883,9823
2492,15745
2820,17953
3076,5457
4671,17272
5436,445
1537,19971
2068,18338
4485,19566
1836,18802
4407,10221
5397,8893
5344,8375
5528,15850
35,11346
2565,9944
3178,8408
997,20233
1077,7631
1704,8308
1887,20944
1431,15752
3470,13081
5379,6169
1695,17191
601,10133
1564,52
2496,13603
761,11611
81,7444
1997,18611
3696,4369
86,19361
696,16780
4720,6517
1323,1719
1714,9353
4624,10382
3775,5876
1114,14170
5098,3754
4542,19314
1412,19069
4124,20715
3007,17973
1961,829
2095,6263
5209,14391
5516,8161
1755,2490
2351,12369
1816,17088
3385,3797
4420,8840
1545,824
3340,6023
4990,4025
4519,5315
1413,15131
2192,3156
4503,13566
4667,16458
2945,6966
3921,16426
2165,10688
1579,18347
4055,17838
3810,13492
685,2351
1677,10016
2690,7650
4526,11370
560,16106
1400,11032
598,17120
2529,10609
4449,17638
3174,985
2789,12041
2823,8878
2706,17896
3521,18499
5166,4683
3209,156
3831,13581
3266,11121
4377,18829
1300,20137
1925,11372
4811,18716
2834,3299
4858,1885
3647,6292
5014,1573
3912,15945
2009,10894
2414,15878
3627,13521
955,3108
3573,20170
3310,9768
1687,18044
2124,20918
3131,8446
47,6869
160,1450
1972,12998
280,9451
3392,15083
2658,1387
3818,9088
3485,4060
4970,2980
2951,16778
5234,20693
2057,16180
1537,20829
5232,14438
3236,14796
2433,10031
3041,11828
2287,12103
12,2040
1593,19803
2569,4031
2956,13018
934,12455
4045,5350
253,14894
4593,9198
4371,18738
1827,18610
187,8877
2251,8666
1951,6863
2454,20780
2929,15787
1313,984
3142,15833
3031,18619
3523,3666
3040,2732
4866,19266
1114,1168
2850,2085
3520,12943
218,18259
4278,20810
2624,4014
5102,18424
2541,3852
3203,7977
5176,5747
255,14036
1657,17383
2668,19280
3825,16061
1883,591
3756,9424
4617,10147
5019,7262
1259,19758
349,16401
623,5405
4719,16956
3815,17291
270,18359
2358,7038
3464,17960
3509,19274
918,14727
4472,9569
4896,8649
1182,14955
3784,11004
4505,8965
2712,5558
3867,18184
1027,8444
5676,9192
487,7993
1391,13796
1396,11749
373,19352
3444,18347
3266,10157
4443,4273
5304,8754
2658,15495
3632,12590
1162,14264
4387,12257
16,18342
1854,1251
57,17511
2227,14636
4973,12436
5447,17282
4747,967
4166,12685
4653,5990
5331,16877
112,10728
3810,5675
3308,284
2140,13672
3965,10844
947,1987
988,19751
1279,13933
1720,323
1698,17361
3553,4742
2667,14003
5105,6625
2309,18631
3318,481
3059,18072
1366,7773
3662,8256
1106,10717
1898,19725
1269,14733
554,7304
2970,11458
664,13980
2255,7002
5428,1910
2960,11516
942,12435
4208,18731
2996,10901
4047,20334
1119,19167
4678,3997
3324,8341
236,5189
1439,4567
4992,2956
1052,3734
2398,3914
956,11596
1221,13137
2282,12637
422,271
4147,20382
2489,9281
1087,5712
3580,18676
5578,19121
3256,9466
5203,14931
4806,4252
4300,3214
1187,11980
2464,16310
589,16506
4807,2530
844,13081
1705,12349
1911,19447
3000,13953
3571,2364
637,19731
5474,19182
1693,12179
5253,4724
542,15212
4477,14389
1458,20270
2811,7743
3327,2308
3543,2912
5414,17467
2786,17466
2315,12366
5351,2537
327,14693
379,3737
3057,17608
2181,15165
4550,17216
3827,16760
1926,11858
2546,4930
3062,2125
842,17829
3028,17008
3744,15200
5245,15264
5171,5235
5507,4516
1837,15487
51,8610
5221,11421
5603,19092
2984,14354
3069,7207
1254,15964
5081,19214
2526,4028
5488,6179
4222,15205
3789,5527
4368,16631
2482,7860
3256,12239
5676,4604
232,1797
5520,9160
70,12486
4770,1374
2218,16347
832,494
3373,2347
3818,18268
4528,18745
1061,2673
326,8694
1815,5155
3947,13965
198,13279
469,16086
3504,6928
61,787
4350,16873
2583,14365
5483,19366
3362,20111
850,2565
3682,7063
2323,14674
2378,12250
2568,20163
17,16424
848,14288
5034,19405
938,3661
5672,12576
3897,19623
5671,12588
676,2264
5394,20728
194,5322
526,8321
677,12526
2188,3575
2979,15468
2865,804
5284,4915
2415,8264
695,1049
1326,15299
1224,16106
3593,19158
1815,7903
4966,2781
2814,4473
3476,8372
1822,5716
4857,421
5519,5289
3652,2477
4858,13584
1864,10368
3195,3238
2394,17741
4005,18679
2441,15955
286,10088
494,3227
603,1793
2173,3672
3032,6179
2138,7466
414,10838
3191,11244
754,18129
831,10317
103,16408
4793,20085
4339,18766
915,14498
3291,3073
3358,4523
2995,12100
478,4316
4322,20183
4244,7834
700,600
3798,8873
644,5199
2283,5367
1557,11255
2362,1264
4326,7883
4360,5832
4360,12108
4619,12908
3164,5579
2292,3344
3588,7738
759,13921
3472,9282
5508,15811
2649,894
4975,19436
961,1050
1757,15785
794,17278
2316,16395
3353,10067
3252,6923
2201,3246
1409,15170
3699,13234
5498,4576
3618,1044
3711,10563
4531,12315
3424,11581
2648,5856
5324,7556
5297,97
4339,631
4667,13482
3406,5866
4121,5731
2238,4847
4676,2988
1352,12859
5106,18347
2674,8174
119,11098
416,19528
3451,148
4040,8113
2772,2831
331,8216
5348,7787
5496,17287
2882,17232
1327,11191
5403,17061
