flightID,flightAttendantID
5105,4318
2305,4596
13016,6432
1398,6099
7601,5399
15186,5513
20905,14
6270,7828
2618,5100
4696,5861
13706,1828
20749,6988
12387,350
15165,6441
287,7549
20102,5970
15603,229
6643,1367
19684,7254
3661,1346
20570,5113
12025,2563
14788,5163
17251,3474
6156,6576
19561,362
14330,4777
2411,174
19114,2710
9559,3225
13871,7351
20868,2701
1781,800
714,620
15780,3469
10264,3151
20041,2283
14351,7223
8984,6136
13646,2904
14768,6131
11610,4609
17473,741
12934,1553
7768,525
4454,883
11657,5607
607,6094
11369,6689
15178,4167
19826,4203
16842,6637
3655,5860
5107,1715
5994,1276
19039,17
76,6386
20526,374
16226,6424
7153,2511
443,3256
16037,244
17595,3949
86,7675
7281,817
13300,1122
20818,5878
13296,226
5121,3079
6781,5794
9716,5838
15875,2114
11778,7579
12373,1348
14573,195
12761,5151
4380,4905
18958,5553
2604,2811
10556,7732
19039,3655
4045,6539
10061,974
6273,2399
14685,6670
2463,3719
10255,5834
10340,6218
16701,2594
8738,4089
17092,1096
12985,2040
12180,2736
17743,1453
3825,5615
14810,1579
20967,4798
8352,983
657,2611
9112,3236
20820,388
8209,1913
9845,4466
3789,7532
10598,5382
15194,7009
16755,5787
14511,2154
20049,5831
15239,3773
1875,6593
2635,620
5211,6089
18718,36
5579,6045
7315,2878
18178,4870
11477,1713
10600,1087
19738,3467
13601,444
6505,5531
147,6964
16101,7804
17049,7102
20094,2384
16585,6900
2969,7493
11160,5080
6700,3283
5026,7784
407,7485
3006,811
16962,4508
1543,1932
2550,3105
13263,947
12113,7005
17469,6220
20051,2665
8599,1682
11494,5578
20001,1127
9436,6822
2319,2829
18197,4608
14533,680
7216,3066
8344,5271
13006,4720
9998,2949
1647,5567
2330,3325
1818,2250
14324,1552
8032,7749
420,5480
15009,4230
20589,4110
619,4302
11615,4451
16796,6582
9165,608
18739,3305
14669,3381
537,3513
3716,4821
2586,6385
3531,6245
20366,3469
20559,2257
11109,6728
6066,6196
1203,4237
17195,536
13743,2073
14336,5074
1727,2236
6615,1606
1323,6572
10626,2595
13173,4894
12989,1105
20651,835
7373,4078
18388,5941
4585,2851
119,4459
19205,4147
18773,3473
8799,6903
20459,6678
3253,718
20636,6741
10646,2318
4305,1941
15687,3188
3339,594
14313,5851
6123,6401
13099,7795
4532,7600
441,1146
2775,4848
7160,4322
8472,7396
20498,777
13371,7551
11625,811
4750,2087
15410,1416
17209,4126
15283,4270
2421,3779
17547,2481
10628,6320
12363,2948
19143,5775
13154,2126
10008,3214
606,5763
9108,6849
714,6660
3437,1670
6708,6121
13539,1074
2432,2952
7152,33
14514,227
5550,84
5579,1140
7875,1349
13151,5936
8267,1888
13963,6682
4415,3116
7556,6340
15104,2243
19685,4015
4801,5544
8356,38
16951,661
17764,5905
17495,5387
20557,6662
16507,4938
6266,4250
6776,7089
18875,5183
8034,1730
17044,596
7768,3033
19969,6198
16985,442
17730,6654
10990,4515
20305,762
1710,6420
9430,7181
5078,1650
1459,7117
12865,5511
18028,1991
627,881
5441,1345
1095,2132
13297,6872
8809,7252
6835,7728
2779,5298
7200,3540
15473,3053
12121,2265
11383,1909
9394,6963
19545,5078
12241,7371
6263,7390
15139,2252
13507,178
17408,1278
15008,7058
13707,2442
2328,5500
12153,1103
4547,4107
19337,3313
11609,4966
2423,5717
13267,1298
10236,7550
12041,1237
4874,2425
17424,3738
6118,892
19709,5548
342,6121
5324,1461
1646,7432
14477,7050
13850,545
16084,4174
16512,1030
4232,5469
17580,4798
1180,7822
7680,4477
18823,3452
14636,5324
11086,2506
18513,5363
3698,3003
15740,4076
8389,2266
1616,4727
6380,1355
2005,1212
11287,3585
9010,6777
923,7095
9879,2607
20481,777
19986,6054
8723,4741
17172,1115
20650,1690
13222,6568
6398,4342
12345,5142
6090,7309
1751,7033
5222,6185
20866,4127
3466,2304
6601,1357
15056,1353
18697,6479
18664,4451
9751,1798
7648,6246
16228,6201
14808,5265
19508,7150
4194,4535
16757,316
4861,3117
20437,6203
12759,6293
624,7202
20364,6503
18624,5796
5120,7763
16907,3520
7869,3208
18854,4096
4017,4760
19408,6713
3787,2274
17334,2346
6611,1644
5740,758
19664,7559
12844,5662
17985,4989
6833,2207
7694,5372
19820,139
14962,6836
13055,2282
18641,1270
12675,6347
11968,1688
11625,7497
20851,2353
14966,900
9658,6624
5471,2402
2450,3693
10488,7143
13795,3336
19026,4174
18248,4146
4998,5915
18700,3810
6033,3669
10847,6515
5919,7439
4857,4657
4913,840
16602,6231
11061,6184
7000,366
11439,4241
12507,3980
13603,7684
7343,6550
2985,6624
9195,6749
18086,4821
16332,6464
3545,3089
10542,7403
9117,2834
2856,4277
14979,5946
17927,2314
11165,1782
16913,1435
5210,894
6095,792
19494,2430
842,1857
8780,461
191,5844
1573,270
5840,1963
5677,180
6483,5372
2652,122
2357,6641
18636,98
810,2913
9830,4714
6635,4019
279,5485
429,1703
6699,3317
2505,4742
19144,4303
2709,7831
13056,1496
16690,5676
11755,7414
1776,496
2303,4519
12774,3997
20082,4446
8257,1104
18303,5111
1857,4274
19844,2957
275,6775
18858,5084
12130,4378
12290,1304
17032,3489
41,1
10273,3390
893,6271
4771,3167
17639,5511
4098,4522
12244,1857
11927,4888
14631,4831
7204,4605
14488,3526
3552,1740
18331,5766
11179,7220
18248,46
18475,7476
18244,4015
7575,4790
8110,4828
18579,2552
4225,4780
19649,7311
14948,432
7829,7236
15264,6935
14247,3657
13375,3825
20691,934
15349,6639
13826,4714
15541,6484
10986,3488
17753,4659
14516,2960
12892,1753
11894,2827
3702,2395
7249,935
2420,2750
16690,3841
890,3865
15163,4343
10389,374
6508,2406
860,7316
2614,267
10764,6977
13378,5915
6858,426
16683,819
9822,3695
9156,7708
15380,6806
6266,3419
15393,996
15018,6003
19301,5338
19839,85
18297,3760
6000,1855
158,3410
14380,4930
6835,4403
13306,3483
11537,361
16030,6660
13279,157
10112,7404
9340,7363
19470,5398
13869,7630
213,6907
2427,1120
11582,1722
5858,7772
572,4753
15989,3499
3766,5649
17256,6011
17261,3747
13303,3508
13053,4935
780,5209
9988,5382
16253,4728
17009,2118
19496,7213
13118,1712
6632,3804
12743,1849
18690,6365
15162,566
8542,3883
20172,3834
11584,5991
18822,2516
6039,7667
19460,1895
3690,5880
11786,1738
17060,791
19139,5157
20972,6017
18749,1285
9424,2885
3029,1763
6854,7838
10420,1419
17927,6009
9950,2927
10349,7269
9908,4839
3670,1105
6237,2937
10186,3568
9168,6104
15765,3428
2693,4511
16361,5301
19042,3787
10887,6051
3404,3183
4146,3026
7213,4579
8754,6590
3327,5677
15670,2805
14637,5361
13610,5459
17378,4427
13467,5421
8742,5215
2198,4838
3226,1746
18163,2447
18310,5293
16949,6980
6392,7769
19652,1729
13193,3941
904,3562
9501,4355
14287,3400
14995,6164
20398,2019
20479,7321
8394,1005
11138,4212
14934,2052
2656,5043
496,1187
7456,2204
16122,7229
4111,3431
19845,400
4512,5929
18613,2283
8872,2259
2310,7121
19454,1872
18460,4070
17104,4098
13706,6253
13003,5662
7201,1563
19735,6650
15446,7239
20074,7459
6881,6757
9791,5636
7547,2777
3904,4706
8551,4230
3042,209
17493,5358
17916,4026
5593,2299
19119,6599
3809,6540
3065,4422
3024,5158
18117,1128
11607,6957
20213,7412
19488,590
4433,7347
18192,6671
9151,3239
9210,1903
1617,2037
1828,5280
10169,59
1235,4845
8797,4828
14497,1838
11557,6295
20790,249
2421,4595
9268,4536
5026,4838
19633,123
4297,789
8632,610
17229,4822
3485,6772
7692,2892
295,4875
12329,5557
7028,7652
20049,6285
12581,3865
17719,988
11576,719
16121,706
10307,4151
6617,5863
13968,2837
16721,857
1390,7025
9340,4186
9975,6448
14902,632
12682,2573
617,3270
18212,328
4631,2693
10659,6544
3158,3408
9335,6405
15867,3586
2698,1743
2520,5700
325,2748
16500,6462
8247,4077
13632,4987
11858,1210
3642,3471
7673,3733
10824,3003
2772,1270
13988,821
427,2658
12574,411
711,2762
14353,5083
6442,4245
15440,3894
10150,2987
13635,2732
5986,5195
1334,6746
1751,3464
14920,51
155,3123
16828,3883
19487,63
3110,6651
11760,589
2810,1536
15554,1878
5215,3417
13666,5793
10444,6063
7416,2117
18088,2613
4543,1502
9340,5955
16960,4572
12030,3155
18116,2200
20141,3885
6444,1267
6600,7434
10814,1356
4477,4210
4920,2884
13278,1459
978,3341
16590,2579
16707,1782
5412,3458
17912,5923
9007,5592
477,7463
4501,1197
181,5303
13031,2096
9959,4991
5587,2937
2041,6616
16855,6213
10664,5343
16213,6402
4344,4462
15724,3949
1776,3823
20251,7302
19389,3520
15512,1764
11668,5966
12380,2859
10974,142
1552,338
1656,2152
14455,2041
11248,4140
13074,5473
1859,2772
6344,5352
15728,4099
15304,4974
5287,934
494,3730
2797,4686
8827,4754
15498,3071
12618,2844
4830,4284
9601,3737
16648,3861
17112,5040
11902,1903
513,6596
6363,6268
9057,492
3901,5529
19909,2503
11187,4989
3844,1497
15661,549
5636,301
13543,3491
8350,6964
18730,5397
5335,7608
14780,7196
19019,7678
12003,6680
8098,3380
11208,7617
7753,167
5891,7740
8578,7124
11144,1273
5708,7280
6267,2749
8469,794
4779,2041
11582,218
10618,170
2948,2054
5720,5568
11792,5267
3555,1409
3187,4078
16325,3350
18112,4528
8866,4943
10246,6869
17985,7118
11110,1765
10075,5764
12799,193
4790,5906
711,3727
14547,1131
14905,7527
18824,3606
86,1115
4830,6113
2587,4761
4321,5582
10170,6393
5311,6155
17701,5395
5572,6555
8787,5423
8612,3971
2658,5480
12458,5972
7842,4731
9365,4806
16159,459
14896,5431
10385,3635
3133,7350
18331,430
3566,985
17481,4338
20601,4822
19909,6684
17820,6825
17307,943
4433,3101
13191,7435
19821,469
5306,1560
5071,4058
14720,3078
18119,7814
16450,199
2505,6607
8012,860
12411,5793
10006,4060
12660,3997
2817,6986
6437,2731
4561,3910
16862,7219
18545,5357
1965,1976
3074,5982
17351,438
6048,4411
16398,34
20361,5975
20171,2903
780,4811
12221,6588
15000,3726
18245,2197
9463,2404
6236,299
10031,613
743,1694
3234,1532
13651,1004
14456,5320
16711,6406
11786,6087
10549,196
6754,1896
12,1741
722,224
4031,523
16898,2348
4497,3178
2569,4526
11273,7801
6852,1632
7749,4061
1994,6795
16501,299
8386,2943
14870,2379
2698,3620
6483,1310
3723,5205
13961,683
16396,7453
2587,1106
10517,3463
14727,6152
1012,7146
9779,5930
8838,3557
7633,7358
13860,215
529,1976
19484,3930
2316,3968
1271,4189
12690,6818
1142,6371
14882,2039
5816,1960
15787,7597
6076,7573
19291,4153
2144,6654
6027,2482
11609,457
734,2063
13528,4965
14430,1593
8959,509
3719,1848
20535,874
11501,1492
13910,2700
4825,4098
3135,3792
303,773
12805,172
12590,1747
18661,1356
17162,72
6075,3078
9240,5990
3728,1503
17887,6209
10354,4236
13362,5842
13843,2225
7948,3093
14567,6699
2700,7458
19452,147
8873,2180
1381,2418
20789,7243
5048,1060
5442,3661
18143,5685
19322,2626
15782,5444
15480,4664
7834,6661
20113,2047
8717,6457
7600,2813
19204,238
13446,6651
1536,2886
4875,277
625,2100
16158,4422
8652,1201
15582,4820
6645,3784
2971,4159
1090,1228
12464,7725
363,2857
4833,4073
5560,752
12898,7755
19185,7146
16808,7478
564,3757
14924,7627
7186,1646
19410,1499
12141,1660
7158,6213
12589,510
9026,4368
10822,5639
11305,2486
15355,6828
9445,5212
2562,813
8025,6579
12284,3681
1937,2398
5576,6261
1806,1371
2105,5546
10814,4227
12326,1899
13238,3372
3007,1518
7114,704
4217,1661
14,1993
1297,6317
3323,3213
2377,1815
6851,1411
398,4317
6806,681
17529,307
5981,5069
12140,3065
13897,4308
19123,842
190,4024
3022,4377
12684,2283
11016,1375
16456,275
20312,1903
12356,4080
2958,2900
6486,1669
14798,3
286,1478
20870,3812
19574,2859
18888,3135
4077,3236
740,6763
3850,1419
8272,24
16842,4755
10767,6498
4723,6647
14960,4805
3378,6849
11074,2684
7750,6066
896,7232
3941,6287
8318,947
16097,304
12451,6452
10076,4854
9744,2709
15854,5637
15577,3984
13814,7727
11233,2260
9317,5686
9651,7167
16918,4290
20959,1595
5680,590
10801,497
11141,6406
15473,6469
7282,7179
20384,4995
6934,6252
19293,1029
6281,1866
14460,2451
7775,2546
7563,4409
17166,256
17427,2407
17324,2272
12404,4856
15374,1066
9310,4572
1618,7063
11222,2462
10904,7679
20327,1619
398,4964
18333,1449
11148,1337
14884,6790
6835,6929
12254,2782
15538,6332
3707,2232
19,7400
933,2479
12656,5905
6003,7649
17098,3979
9278,1247
8116,5294
12343,6011
2652,3072
4303,2611
8504,1200
3611,6931
362,965
234,7780
11115,1851
10312,3364
7826,1141
4629,45
16265,4010
8392,7493
6745,2607
8746,1519
17986,6900
6529,3652
7179,6156
17281,6222
17850,1476
17153,2412
7939,3131
6519,4363
18805,3727
13330,5410
7744,5540
8286,7393
20956,3228
13871,3380
7238,2563
716,1645
3465,5538
7081,3475
19216,2309
20501,3050
4315,2279
8718,3250
9851,6938
4772,6461
19488,1679
99,7172
9330,1256
13238,6040
14394,432
10601,6226
13127,289
10247,4137
5322,7600
4487,474
5152,5028
10893,5003
18224,775
7384,157
15531,7111
13095,5704
14166,3506
2030,5340
2078,6182
13030,2988
20907,3378
1167,3785
5688,21
2847,3728
7163,876
19184,827
1477,5880
3939,6399
2703,5477
9147,7533
6774,402
11980,1121
14368,2661
10616,5573
4099,524
15290,4264
4346,1288
5772,1218
465,4185
3511,5495
1578,3008
3843,6430
8037,1547
16311,5635
19422,3202
9005,3407
10326,3677
11663,227
6251,5572
16640,7264
17170,7583
6757,5641
3214,7331
7196,5898
19528,6932
10729,1795
13828,2383
3886,6156
6360,6800
5447,5159
14079,1430
18497,4145
5081,1623
19917,4683
13777,6387
6251,1431
4682,1358
1140,3623
2769,5540
9061,7077
10202,5647
13477,3017
2953,2521
8287,1371
12838,1833
19780,5050
7776,5657
11096,4907
2817,18
12183,6749
17789,7010
3871,4180
7238,2709
10263,2299
5729,7155
3242,6191
9808,5869
761,4592
3605,897
14021,5853
3025,4386
20173,6268
7837,4667
7102,2521
18262,7427
2829,2695
1967,5725
19266,888
18202,4933
17376,7283
5981,1835
15555,1388
5688,2558
6693,6720
10951,1281
19993,6605
16712,2210
637,6958
1338,5701
8804,5123
19141,4622
14246,5220
13065,798
20376,601
4752,1090
14502,3848
13534,7182
5483,1153
12540,3444
1839,7499
17328,3095
3467,1652
10131,7669
20974,5228
4609,7735
15346,4433
12364,5499
5415,6543
3456,14
5849,4008
17127,7750
15522,5852
19221,7351
14915,5900
5263,6797
15614,5132
6245,5654
15888,2786
10294,4009
19845,277
8567,3896
1211,1968
2001,2717
139,7688
8526,4916
5116,326
13300,7636
16747,1966
20714,2761
6410,6357
475,1838
3770,7774
18635,5645
15617,7149
18588,1906
4490,4377
6983,3233
7444,6189
9044,643
2387,7799
19199,3247
988,5939
15004,2478
15048,2415
15229,337
5860,846
14213,2461
10378,4978
7886,2227
7735,3959
20243,6535
801,6956
17580,5834
19973,6558
8680,2770
3348,591
1374,2982
11467,5149
16190,5076
17607,7109
8976,1460
14421,3834
1347,6368
2523,439
3514,7126
17311,7820
7257,6908
20526,2722
12312,1418
20466,416
5490,3373
12100,5731
567,7223
20725,2428
1514,5782
8552,7204
18807,1402
18956,3312
3937,6724
10454,5369
17664,2416
17411,5913
14132,7317
5176,5318
8953,3635
3286,7267
5983,6854
19066,4424
5262,5770
6816,4466
3703,1823
15425,5579
17587,6517
8483,6885
7941,5275
4534,5178
15500,4001
17094,2030
12459,7650
19989,2603
4592,2610
20626,2018
19226,5062
5417,1418
3265,46
14631,639
15718,4494
1674,3919
2066,4426
7738,4237
5364,6833
7248,3285
12475,5173
20014,668
7918,6450
8807,6701
1077,7651
5886,4938
17163,6556
7002,4812
17694,1524
2089,7360
3204,3510
6224,3269
5492,4689
10185,5128
1380,3470
6703,24
4021,1891
10027,7248
3127,1571
19682,5587
2683,3836
3318,1951
9652,95
7635,7370
4885,1143
18736,7110
18154,5169
15700,4409
14569,5078
1361,4097
11847,3189
827,7332
18870,1576
12592,7179
9178,5113
14486,2823
7142,3222
14644,222
14037,3313
1870,1858
17035,5308
1726,4135
15338,857
12226,2412
4094,6
5672,1590
5622,1755
5205,5103
13071,1471
3721,6815
1472,3583
800,4337
2044,4420
12227,7235
19696,7536
12900,7086
5322,1008
802,6185
5684,1168
15421,6139
13393,6471
11806,3031
17235,2819
13791,57
4776,3719
1196,4828
19559,343
13860,5617
6296,1941
6639,3546
11979,7206
7425,4650
4535,5108
3822,2672
18851,4756
2057,2010
4893,2344
18128,4109
7270,5834
16859,2942
204,3399
15803,5587
48,5510
13893,5314
3746,2501
11713,7373
4205,3081
8701,2814
10809,2450
12142,2499
3810,6634
4589,6656
4973,6171
3795,328
19328,3632
19163,6273
11362,3838
2142,1367
4138,1120
4544,1360
8659,2985
10530,5893
4118,727
14306,4684
11456,3438
8971,4102
10272,5593
12257,1751
9419,724
10186,6516
10500,3558
17670,2135
19381,3001
3075,4140
15513,137
14701,3469
6469,1350
14125,6925
10383,2666
13933,3398
3988,2304
1805,4401
11285,49
11639,3877
5286,3168
9684,5713
19854,4518
18547,5326
2870,3919
18616,58
33,3948
7252,4470
9308,594
14863,1659
9871,3793
4038,426
916,4378
9342,3814
644,5700
6685,1850
6400,2650
10451,2095
9640,5331
20709,4058
19455,5700
13618,6180
5532,5432
14249,5793
10444,5968
2769,6317
4222,3867
14669,6647
14513,21
8201,3035
13081,1487
17657,7481
19800,3477
10997,649
18777,5496
7609,1342
16622,6773
297,2050
4978,7761
6097,5232
12350,1113
9836,755
10742,6768
2494,2771
18735,5246
3967,5795
10932,6096
694,3282
12518,1456
16080,5350
8484,4038
9877,5405
2917,4290
5549,2746
5667,2152
7787,6109
4693,3029
20751,3603
20818,2096
10204,1543
5086,7035
20667,1055
5477,184
16112,4345
6466,21
7034,2303
7069,2097
7604,1289
18829,3169
19106,5308
20024,5918
8170,5775
16416,6421
2790,6936
12495,2979
16911,407
12974,7698
13216,2721
18840,2151
11177,4285
12968,4299
19050,5895
11382,454
1702,4076
18382,3977
15541,7218
4903,7693
15715,4534
15629,4338
11401,900
3360,1110
19067,4913
14666,1628
18921,2848
9264,7207
12574,5384
4988,3929
17537,6999
7761,1483
20818,3931
17913,725
1980,4631
4904,4921
6031,186
18167,6162
16668,1556
20782,4893
3933,668
317,6648
9103,5137
7867,4902
13178,5850
7582,7562
18684,7645
7768,5899
8998,1475
11254,1977
16605,3236
1759,5771
2088,426
9008,4301
11724,2443
13029,7041
19998,5247
2376,5156
20129,2145
17908,6059
11483,4056
16916,5928
19728,6191
20355,190
8325,6577
12219,2662
2364,7094
5871,6758
14525,4279
4304,7801
1564,6121
14285,1675
5374,3090
7855,1757
918,2915
16571,305
17377,3477
12024,1098
9794,4268
14326,2182
11678,1493
4986,7198
6670,1030
16870,2172
11965,2893
20990,2886
4906,726
12686,1727
7328,6660
810,4822
256,5330
17485,3471
18166,5499
5650,2114
11838,2243
2553,6006
13193,913
13174,7500
2528,5176
16319,6015
14057,1879
3078,4736
5935,5839
16269,6118
11281,3572
19620,1297
20335,835
20343,2567
3220,220
5190,94
6767,5650
14490,6087
14654,1857
16383,2309
2503,7675
6238,1556
185,6582
16625,398
3668,7211
539,1421
17846,4161
6265,4238
550,7138
14436,2514
16133,5793
16186,7405
10839,7242
6943,6045
15312,4284
16869,4649
9512,7409
11641,7619
14325,2436
437,4870
4054,7302
7909,7
6991,6469
5417,183
20803,3301
8186,4485
18567,3036
11961,1509
4489,6527
3941,5323
16376,6033
5460,3457
4225,867
4965,1795
1882,5005
3958,5623
16257,544
4416,2485
4263,5984
18827,6130
8490,4910
6709,4724
2235,5434
12730,5865
14635,3324
1375,3214
5456,6897
10837,4139
16022,3735
18769,1879
12859,139
20667,6888
20967,2863
2861,1886
17354,6604
6644,4193
9298,7728
18049,4673
13599,779
17212,4232
6056,1000
6426,2295
16297,5951
2409,4096
17738,3683
17183,6269
15986,3426
18546,1326
12298,3408
17670,4355
5586,1723
9973,901
10126,378
10754,6517
5657,4977
11199,397
246,4538
16959,2103
17608,7627
3981,6675
13308,5042
7162,3530
12674,4894
1929,94
13542,4591
16636,4822
10037,2063
6812,7243
5215,4802
16973,5764
384,5991
13425,6946
5246,6518
20947,1482
9630,2204
8574,3146
6155,6555
17105,7000
16802,5698
13368,284
6201,6894
19623,1995
11877,6083
18146,2299
577,3087
17022,5027
987,4206
5424,581
11709,6204
20959,5469
19588,4386
13372,6936
915,2041
13181,7140
2031,4938
17361,6461
6141,1247
20523,1771
18851,244
17480,1019
3847,5597
13667,36
20206,3159
10960,4969
6208,2230
12869,1728
4581,4338
19636,3287
13078,3316
3108,4861
10766,5359
8198,5126
3379,144
7528,4360
20892,503
14243,5203
15467,32
20299,2731
14184,2220
8893,5087
16037,5998
4120,4616
19127,3434
10969,3329
12780,3995
20585,6270
14561,565
10094,380
7550,137
15237,6096
17668,2155
8328,7424
12359,2624
14242,3908
4822,4045
18290,1143
19443,3582
18004,2357
14648,132
10436,5442
16432,7350
11477,4713
17054,3223
3008,5164
1922,3419
1297,3942
20621,7038
20960,1079
8088,6203
433,48
7103,1094
9755,1198
369,3606
18262,3569
10776,144
460,6989
12084,7618
12871,2322
7321,1213
7126,5941
18741,7477
16459,2929
12303,3157
11382,4319
15390,4881
2457,6393
3492,1522
14301,4849
3917,4844
20916,4216
11917,3390
4680,4843
1188,1241
17960,6175
4252,3018
15556,4964
9882,7300
12163,4458
19670,676
14629,1903
11518,4853
20221,3418
11010,1952
4497,3733
15933,3452
3849,1234
14418,1809
13264,6118
1762,496
6250,1140
4705,4831
9380,7409
1788,4290
72,4943
1792,7294
2049,5271
5344,3208
19406,1529
2680,4354
18419,7347
2066,4436
13997,5566
3190,1732
13373,7147
15972,2457
333,1459
6248,2091
4009,2566
16379,4055
17111,6588
4464,2505
14311,1405
15944,4702
2448,5646
6336,693
7694,5483
7262,5763
7829,3148
2219,2747
12348,3907
15163,4282
1012,1089
17974,7075
15043,605
3245,7202
4887,4524
19565,7218
13849,2706
380,4751
1573,2850
4869,1324
3281,1629
6582,5931
7402,2014
9350,1987
1901,7165
15069,3434
8464,4147
7036,5383
5833,4331
7949,4188
9394,7764
9854,3115
7314,387
11444,4511
16509,4059
20959,5065
11783,858
3502,2535
7352,6379
7615,2529
8869,1669
3946,3127
19821,7511
1514,3912
17756,6358
9435,1563
812,845
12280,4832
6274,5147
9496,4432
1393,2794
4084,2444
5127,1239
11842,3761
2559,3167
4944,6938
2738,7302
13785,1854
7210,2772
2492,7321
16921,4717
8617,265
6693,7331
10708,3271
7324,5858
15703,5039
10835,3225
20832,4739
7496,538
12221,3575
13378,340
14560,3854
1282,4995
12786,1444
9100,221
19479,6750
3352,4904
9815,3645
10088,731
20591,398
4517,5294
18034,5699
17007,3715
12238,2828
13478,1218
2262,5505
3442,5698
11684,4113
734,2228
15255,6440
10582,5215
14245,2972
1537,7322
2058,1913
5077,6562
9341,7312
17033,3414
4805,3214
1095,6335
9521,190
8913,3305
4279,4110
16742,7069
19009,7072
9098,5224
14429,2265
3754,3137
5754,7215
10107,3678
11009,5370
12789,2038
6155,2711
7318,7647
7297,3315
1559,2711
13977,2253
4788,4409
12145,1775
17761,5554
20764,5301
19839,2067
6076,727
10034,4153
3418,2655
2692,2633
654,5040
12664,7461
16469,296
10531,3886
