maintenanceID,pieceID
4524,3
5382,7
4423,11
5230,4
5189,17
5126,13
3030,8
3352,12
4953,11
3805,17
4662,2
2459,12
5535,4
3836,14
1816,11
5199,2
696,8
5372,17
2542,3
2970,1
3301,1
2646,6
1179,16
2810,4
3974,3
2066,8
3742,1
1909,15
5171,12
125,6
1771,7
36,10
531,4
5032,18
4871,18
3425,1
1551,11
5155,5
5950,13
3943,13
1732,18
4922,6
3396,9
4214,6
505,12
1182,7
4844,15
2477,6
3697,9
3138,3
3819,9
430,7
2127,9
948,7
4382,7
5353,1
494,16
2416,1
4956,14
5965,13
3113,5
5389,9
4295,14
5025,11
4806,16
871,9
2361,17
917,18
2824,9
5879,10
2044,4
2192,1
3468,13
3205,15
3644,2
3745,14
3685,6
3057,17
4458,1
2705,10
3353,4
3687,18
1460,1
4932,13
3813,3
859,3
5873,17
1749,17
2987,3
413,5
1090,8
186,12
3862,14
1184,11
4858,15
3756,14
5149,5
1535,12
5115,10
4986,9
5510,14
1051,12
4445,11
1451,12
1626,2
5075,10
2185,14
1377,4
303,3
5442,3
2697,17
4613,4
674,6
1954,4
1431,4
1674,5
4159,7
2073,2
4500,5
923,7
4208,14
126,18
1452,10
5343,12
2864,1
988,3
663,3
5311,7
496,15
4940,17
4003,8
4763,13
3880,2
1732,16
4888,10
1606,16
418,12
3741,3
1836,4
2327,1
3084,12
3301,16
4272,3
3729,10
2395,10
2195,12
2922,3
463,10
3877,3
544,6
5068,11
5719,6
3050,9
766,15
2108,17
145,13
4415,14
5433,9
4142,7
3605,16
900,15
4500,15
2010,17
145,4
2326,11
3518,12
5559,10
361,5
2002,15
1261,6
5919,1
2263,14
5220,18
5673,8
3024,7
1398,13
3376,13
3214,1
5067,9
2881,18
4371,9
4261,9
5502,15
1838,6
2764,1
597,12
5840,17
3233,11
1521,5
462,3
1508,12
5276,6
3197,8
2522,11
5353,2
266,4
3088,15
4775,5
2680,17
5396,17
4269,18
3711,18
4314,16
3708,10
3867,5
273,13
4237,8
2815,12
1851,3
3518,14
1165,13
3674,4
2852,5
5100,15
812,18
2881,10
2897,14
4318,5
415,10
3056,9
4322,7
4060,6
5718,8
1677,2
5195,2
679,13
5437,17
4205,13
3675,12
4072,17
2194,14
1965,15
4349,14
92,11
1327,5
5499,18
3302,5
405,9
1145,17
305,13
4473,1
2751,17
3678,2
2425,10
176,5
3167,18
5060,14
3634,6
5471,5
2786,16
3381,8
1176,6
4687,6
958,18
4176,16
529,6
944,15
4524,5
3208,5
183,3
1492,15
5095,3
5843,4
3487,16
5809,5
5253,17
2986,1
5793,1
3580,7
4669,14
3233,18
596,11
24,4
1027,3
5037,3
5970,9
4221,3
2747,15
2889,16
4753,6
5528,7
667,10
3207,17
44,1
4377,12
3786,10
2566,16
2725,13
5737,6
5537,15
5344,1
354,8
1371,18
3900,15
2248,17
748,10
5875,2
3274,8
1604,13
4242,12
3956,13
2543,1
457,5
984,18
2996,11
2690,17
4461,18
2747,12
2886,14
2444,15
3900,15
694,18
2962,18
3704,7
4782,13
2431,6
793,3
4256,17
1746,15
2229,5
4250,2
4323,10
3954,13
1748,14
5729,7
2758,14
1616,10
680,7
3934,5
2518,6
5745,2
5935,17
5022,2
5580,12
252,3
816,10
2950,17
3589,13
898,14
638,4
5802,13
1878,9
1300,7
664,5
4851,3
5865,16
3825,9
2012,15
1807,16
3248,17
487,8
2856,14
4306,5
4047,14
4571,12
5241,5
319,13
2303,13
3405,9
4452,6
2294,14
65,14
5249,13
58,2
3706,9
45,5
2568,8
3945,16
5383,8
3376,7
4458,9
2621,16
1754,13
3542,12
4192,14
4509,4
3172,2
296,10
1874,15
3099,10
878,10
3095,16
1047,18
2133,4
5351,5
4681,17
1773,18
2176,6
1272,18
2378,13
4519,4
465,6
2787,14
2123,2
2757,1
5423,18
2893,11
4893,1
1624,11
5046,16
3133,10
507,12
5055,8
4888,11
1918,3
776,15
5094,16
1752,5
319,13
377,14
3185,1
4509,10
5425,1
1708,14
3533,15
5547,10
2065,13
1003,14
378,1
3511,16
4647,12
2413,14
4820,16
2636,17
1175,8
2740,16
5497,10
23,16
4655,6
473,12
2102,13
5143,1
3027,14
4193,11
1137,8
5364,1
5243,9
2155,7
165,10
5106,8
3223,1
1113,4
1654,17
900,3
5731,18
5234,14
4468,4
438,14
3958,17
5358,11
5109,14
2160,4
3640,5
4512,7
3872,1
237,5
691,18
4592,3
5539,5
3546,15
3605,10
453,12
3642,10
4037,5
3736,3
5805,17
579,2
5050,11
3582,7
4060,9
4329,16
5918,7
4921,11
632,10
627,3
346,13
1809,17
1670,11
4308,18
1595,11
734,12
2943,16
5611,8
4115,14
283,2
792,9
2013,13
5992,5
1361,7
3197,17
343,8
1512,15
1870,13
4860,3
4457,12
4790,8
158,1
3390,3
608,6
1809,8
2302,17
4499,11
926,13
1405,11
5080,17
1245,17
428,5
4414,1
2624,6
3366,16
230,9
1324,2
2897,16
4049,1
2317,11
2626,11
4173,17
3073,18
2808,6
694,6
64,5
37,2
5103,17
3808,8
488,17
1482,14
3201,16
1422,16
4527,5
237,11
1861,13
2371,8
4758,14
5750,11
250,8
5057,8
2460,15
1422,5
1471,15
4642,13
5517,12
2338,14
5733,7
330,12
3126,7
2799,17
4372,8
2122,17
2219,17
2827,18
5404,7
1716,6
3681,14
648,8
506,6
5621,5
4206,13
4945,17
3738,15
5707,10
4018,16
1623,13
4965,8
4223,3
2145,4
2175,8
223,2
3636,16
4132,13
5509,7
2412,10
5892,1
5530,2
3346,2
515,4
1860,16
5619,13
3988,2
1351,10
4030,16
538,6
1479,7
5979,12
4023,10
137,10
1433,11
5377,8
1419,3
1209,9
1097,8
1267,1
1999,16
2440,2
2639,8
5652,17
3577,17
392,10
4534,12
1176,4
5633,6
465,10
3648,10
1183,18
2240,10
3351,14
797,7
3788,3
4162,16
5664,14
4291,18
765,18
1417,8
5673,7
5675,11
3553,4
3952,10
4424,11
402,12
443,6
5144,5
1746,15
5960,7
3582,14
2843,1
3448,18
4594,6
3809,2
5454,7
3777,16
2971,2
2864,10
1766,8
2971,10
1934,12
5129,14
4411,5
4937,11
1632,8
4777,6
987,6
5293,1
3144,10
5300,2
4308,3
1928,1
4109,12
4239,10
549,16
5050,5
1179,13
3233,9
680,3
5163,7
1710,7
3375,16
1959,6
954,6
3130,1
5215,9
2972,13
172,13
1538,15
5584,4
1231,10
1141,6
5388,16
5733,15
920,13
3965,15
5049,10
3994,17
5633,15
742,13
1838,13
4148,18
4911,3
181,5
2702,4
3994,2
3277,10
684,2
2823,1
3216,14
4353,12
1487,14
4087,18
2875,7
391,17
3090,1
5616,11
2221,17
656,2
5067,8
1174,15
4794,8
4767,6
4629,3
2560,13
1524,12
5970,10
1340,12
4684,8
2471,5
1592,14
2007,13
3552,14
4899,10
3314,16
2112,13
4952,2
323,2
2031,14
2847,12
4185,18
1646,3
3235,14
2681,9
1417,9
1947,6
4493,2
3138,10
2534,12
3288,6
1080,12
3961,7
715,8
2954,15
4492,9
4032,6
4974,8
3312,13
2136,11
2364,9
4954,17
4914,6
2578,6
5536,3
3079,14
5322,18
2479,9
3807,17
2753,7
5665,9
4039,12
5080,1
50,5
3363,14
1443,3
2618,11
3713,17
3585,4
989,6
83,16
5450,3
5740,2
4489,2
1081,2
1708,5
783,7
3376,5
317,11
296,14
2031,3
5646,7
2301,6
428,3
1782,1
372,8
4868,10
5438,1
2834,17
822,6
2655,18
2530,2
723,17
1425,6
2235,5
2664,10
5573,13
1053,5
1493,3
4600,9
2333,12
1522,7
4862,18
364,1
2340,1
5955,11
174,18
63,5
4566,10
4150,1
4898,12
3298,11
4207,1
5078,10
853,16
2133,3
698,1
4303,11
3106,3
4704,18
705,1
5604,12
2874,2
2832,17
1994,13
2655,18
1892,11
3115,5
5180,3
2203,16
5729,11
1669,8
4991,9
1456,13
4712,8
1738,7
626,5
5630,6
2494,7
2913,7
2990,11
3197,12
1610,1
3761,5
643,3
2487,10
2078,11
3095,17
608,12
4004,17
2242,13
2925,14
285,18
1979,13
5771,14
3725,17
39,9
5743,9
5617,11
5882,8
1126,12
4430,14
3470,12
5938,17
2580,18
2339,8
1811,8
2335,16
5779,11
77,15
4294,15
3688,4
4776,6
4372,11
1599,6
4853,17
503,3
801,6
2660,1
3489,4
4530,17
3778,12
615,15
4048,6
2685,11
4059,7
2799,9
4466,7
4303,10
1592,8
4955,6
1623,4
5048,7
2796,14
461,9
1244,11
4922,1
4496,4
170,4
4539,8
4199,10
1206,18
1927,3
3115,3
1345,8
2560,14
3018,11
3268,1
1034,15
3368,8
1526,12
1291,8
2333,3
5306,4
3630,1
584,18
252,9
2946,16
3575,2
1730,18
2601,11
5159,12
4988,4
4575,3
4434,6
4876,4
905,1
273,14
3587,8
4882,16
4882,4
4113,6
361,17
626,4
3504,5
5629,9
4172,13
3333,15
3544,12
2654,11
3764,3
808,18
3429,11
3150,10
2833,11
634,3
5534,16
1593,1
580,1
5041,9
2372,9
4726,6
5789,18
1049,10
1538,4
3920,9
4776,6
1178,17
4363,9
4810,17
5703,7
848,12
3118,15
1800,18
5716,5
4089,17
5150,12
434,17
5727,4
679,3
4205,10
1455,14
1579,7
5893,2
3666,7
3738,13
2933,5
3814,3
2506,15
1718,8
5601,2
2935,14
1609,4
4831,10
4257,12
549,4
5547,2
4212,15
978,8
922,10
1292,9
5069,18
1070,4
3330,4
1431,17
2874,4
5630,3
2230,11
2380,15
2156,15
4954,13
951,12
399,14
4310,14
5434,2
5843,1
3940,14
1039,5
1635,9
5074,1
5073,17
4595,10
2807,5
4166,3
3580,17
5990,8
3646,3
5633,6
4544,12
3404,17
1218,9
4736,17
4501,4
2065,6
2132,13
3805,9
3973,13
2437,13
3508,9
4143,15
1268,4
3257,2
320,4
5047,5
3125,6
3195,13
3835,5
2998,9
2847,3
5933,15
2399,2
2285,9
3536,12
4298,3
4232,15
4448,5
4147,11
2733,14
5514,7
433,5
2203,15
4857,15
2220,11
5690,2
3572,6
2177,6
1353,13
3866,4
310,13
5044,18
4661,14
670,16
3554,6
4307,5
4498,8
2279,14
4059,12
894,6
3453,1
1406,17
196,18
5949,17
829,1
591,5
4016,11
4575,15
3235,4
2699,18
134,7
5791,18
5610,7
3243,4
1644,18
4825,4
2103,17
5373,12
2806,10
4790,7
3039,3
2862,7
5557,13
202,14
1048,9
3874,5
541,17
5875,1
1496,7
2056,6
2165,10
4359,10
4451,13
2927,13
503,1
5363,14
3125,4
3955,12
4960,2
5166,14
3355,2
1054,15
1265,18
5063,16
3844,6
3226,10
2313,3
36,14
4001,7
4490,3
5140,5
2973,15
2092,14
3703,12
2252,15
3535,13
5285,6
1305,11
383,7
1314,11
3520,12
832,5
2942,16
4196,12
5225,17
408,8
5756,15
5819,2
708,7
4665,15
2939,1
1779,17
3620,17
1364,13
184,17
3976,4
4364,17
1897,13
2680,14
96,12
4403,10
5659,8
3881,8
5877,13
4905,6
4390,11
169,12
4690,9
2883,4
4480,17
1797,17
2118,5
1017,2
2144,11
3161,11
1592,3
5714,8
2281,7
3914,2
5177,1
2080,3
302,1
1517,14
2338,9
5857,3
4070,2
4812,18
3292,18
4830,16
2227,1
3824,12
2442,15
1995,8
3576,13
812,3
5621,17
5372,7
983,18
4284,15
5925,6
10,17
3483,18
5303,9
3210,16
4332,17
2550,13
5972,16
3662,8
5934,6
3540,15
386,5
5002,3
2219,18
2546,11
4426,3
3568,13
4226,14
5830,6
1784,17
3188,10
871,4
5304,4
5763,15
4964,11
403,9
202,13
4404,16
956,16
3329,2
5873,8
2796,15
1100,17
3964,8
1555,1
1636,6
3546,4
1517,15
5840,13
608,5
1044,7
4366,11
1308,2
4529,13
4171,15
3082,15
1454,4
2139,14
1583,18
3148,11
3294,13
1929,6
4782,13
3074,1
4061,11
240,4
1792,12
1589,1
574,11
2228,8
257,13
4882,1
5695,16
1049,10
2663,5
243,6
5033,10
2091,14
2374,9
5871,12
5478,18
2059,12
577,7
2490,12
1907,11
2286,10
3561,7
2714,14
5730,12
1807,16
2820,17
4936,15
5876,18
35,1
1393,10
329,11
4302,12
2892,9
3901,5
3495,16
1244,1
4433,9
4525,1
4914,18
4409,7
670,13
4004,18
1697,13
3154,16
3980,14
657,1
2158,7
2657,15
598,11
3214,3
3699,14
3650,17
2686,11
3525,16
2290,14
4416,11
679,3
841,12
972,13
2264,13
3812,2
882,18
4051,5
5400,16
3178,1
1924,10
3578,4
1322,3
3232,8
562,8
5256,15
5335,7
3125,9
4586,7
5719,6
50,9
2261,17
5896,18
2831,4
5678,18
5069,18
5653,5
2607,17
5999,15
3831,10
3197,2
2236,18
4568,8
5586,15
2585,18
2152,5
5962,14
4841,3
2348,13
3659,3
1701,10
2321,5
3119,2
2923,9
3752,17
5354,9
423,13
2120,14
4200,8
2488,15
3764,6
395,16
1658,11
3025,1
259,17
960,8
5929,8
3279,7
2633,12
943,1
1927,2
1532,16
2511,8
204,4
1946,15
5225,6
1117,4
3726,6
3725,15
1438,13
2909,2
732,10
4441,18
5589,3
4456,17
3840,16
4143,1
5917,5
2657,2
5291,16
1015,2
5871,14
3866,18
5780,6
1468,3
5293,13
3550,4
5073,2
4815,13
5398,5
881,14
2507,2
672,2
2277,13
3212,14
5585,8
2473,5
1348,11
2062,10
1499,15
3618,1
1943,5
5892,13
1393,8
2943,6
4335,2
4676,6
5599,1
3041,5
268,5
5875,2
2752,1
3391,16
5984,10
602,6
4438,16
2496,17
1479,4
4983,1
1276,17
1391,7
182,3
1338,14
243,9
3148,10
1538,16
509,16
2081,2
4183,3
1521,6
5885,3
2381,13
5078,1
3121,2
4449,12
1293,14
3179,16
931,12
3874,10
1511,18
1086,9
2412,11
3774,7
139,5
5306,3
960,17
704,4
3282,18
4125,13
5666,4
2248,1
2571,14
1635,3
514,18
5007,16
2689,11
979,16
2890,5
2623,2
2265,2
5919,3
4772,13
5719,12
4807,10
5437,1
840,4
4992,17
3942,9
3980,9
5488,8
3827,18
4623,9
2054,7
2761,10
1216,2
1234,17
5112,1
3747,12
703,4
1085,14
1836,5
5515,3
3506,16
3583,15
983,17
1696,16
923,14
4514,5
390,17
350,14
179,5
2438,1
4229,13
5361,6
5580,7
5227,18
904,1
2582,12
1569,15
5330,5
1830,4
5938,1
3235,16
796,5
5101,17
4196,14
3525,5
2651,2
5765,17
2681,5
4104,10
2733,10
376,2
340,2
5743,5
357,4
5754,11
129,1
1051,4
376,14
3354,13
5980,7
4986,18
3377,3
3852,5
921,16
1894,9
5597,17
4271,18
1587,18
5122,6
926,8
5988,7
5387,2
5521,3
640,6
155,7
4696,4
4178,16
5866,11
4396,18
4577,13
2145,3
4891,1
1927,6
2386,17
5687,5
2510,5
2204,9
588,6
3418,12
3742,1
2316,4
564,7
4995,17
2522,11
1265,4
3640,16
1055,3
2268,14
5738,7
3139,5
2787,10
3948,8
5530,10
248,11
4493,6
1400,17
1489,6
5917,13
1453,8
2494,13
5326,18
1770,5
5549,3
1405,10
4327,10
4607,13
2755,17
1508,12
1512,6
1121,10
2964,14
1093,11
2613,18
1121,5
4391,9
727,2
5365,17
643,18
2810,7
1996,9
4866,11
3232,14
5172,4
1021,6
3068,4
5343,9
611,5
746,13
3437,11
2870,3
1100,7
1194,8
5430,5
3170,4
738,12
4562,4
1504,14
3957,4
196,10
3530,10
4199,18
1257,13
5651,5
737,8
2416,8
4170,7
2373,6
2699,12
3207,16
2047,7
5671,17
4868,9
3629,2
2218,4
1323,1
1781,5
2318,10
3482,16
1506,16
2710,6
317,15
91,15
1989,13
2723,5
3391,11
731,16
2064,7
799,7
3704,18
3152,6
850,7
1536,12
767,2
1635,2
1340,9
2133,8
2701,6
2181,11
1248,12
541,16
1240,11
3626,6
4754,3
4427,13
1002,17
3250,13
4216,16
851,4
2327,17
1791,17
384,15
1777,11
4076,9
4699,1
608,16
3732,7
130,15
3053,16
1026,6
1238,13
2790,8
790,4
4645,7
2429,17
5905,7
5002,6
2629,5
695,6
3704,13
1772,2
2056,18
3025,7
2388,7
689,13
66,2
4125,6
3245,8
4076,12
3121,18
5703,11
2693,3
5710,2
5141,10
5282,13
2241,5
5446,2
4914,12
3131,15
5293,1
1193,17
826,8
2463,1
841,1
2241,8
713,16
3039,18
1315,2
796,14
2949,14
5852,8
4606,3
3260,12
5289,4
1143,14
4047,16
4669,11
2910,7
158,18
329,17
3107,3
5801,11
1548,1
1898,9
1302,5
1105,6
3735,9
2398,15
238,3
1402,11
4019,7
2802,15
2245,11
4779,5
2691,2
3081,17
2461,6
1151,7
5176,4
5235,9
3018,8
57,1
992,16
5612,18
637,15
845,10
1186,2
1411,7
4662,4
5480,6
1845,11
4700,13
2882,1
4222,15
4282,7
372,12
5796,7
2889,13
3918,14
1099,18
5295,3
2964,6
2973,6
5429,6
2323,18
5695,12
1143,8
4560,1
4974,6
5808,2
1347,4
2093,15
2481,1
3270,12
3321,2
4866,12
2600,1
410,17
638,4
5702,6
3347,9
2578,1
3328,5
2807,15
992,4
1081,17
2398,10
3517,2
5139,7
1937,4
3043,5
5539,7
797,6
5908,9
4748,7
3850,18
816,5
5166,5
5,6
453,2
2060,10
3862,1
3345,3
2159,13
2169,3
4104,13
267,7
5277,5
552,4
5651,8
1002,11
2165,18
769,6
4433,13
5932,1
5018,13
634,10
1955,13
3498,18
619,13
2039,11
4754,6
2329,7
3554,12
3915,18
210,17
1754,2
2975,15
5368,12
2090,17
4849,17
77,12
4754,15
5644,8
4447,7
5608,6
297,7
3090,18
3873,12
600,8
2257,1
5475,9
3701,7
5355,16
5909,6
339,10
2565,15
3105,3
3578,16
1728,1
1275,4
3383,8
3845,11
5010,18
1684,18
5575,5
5136,1
5240,6
1076,4
5354,14
4225,18
3024,1
4756,16
957,12
31,11
3011,9
1319,9
156,12
2697,7
40,9
2176,11
4278,13
2041,7
315,15
5151,10
3843,13
173,17
2871,11
4658,12
5915,15
3349,15
5460,4
5434,14
4143,4
2601,4
2555,16
2009,18
3442,1
1864,3
5781,1
3206,8
5873,3
1437,6
3725,3
5054,12
5031,15
239,2
4851,2
2906,9
1506,15
2527,10
711,12
5757,10
4718,6
3916,9
5880,2
867,2
4539,14
5729,15
1723,4
2266,17
2481,18
3909,12
1315,9
4406,3
1824,6
3423,12
3546,16
3280,4
1278,10
2881,18
5066,7
141,18
2337,7
4644,16
2567,15
2075,2
5662,16
5876,2
2574,18
3750,7
594,4
5041,1
84,2
5317,3
3352,16
2539,3
1242,6
1034,18
5522,2
5251,10
1037,14
5625,12
1625,6
891,1
174,14
3334,9
144,10
5496,18
5044,17
2258,5
1892,15
5927,11
5984,14
3693,11
5409,14
4898,13
2232,13
4790,6
376,9
1357,10
2854,16
4553,18
805,9
4127,16
3017,7
111,12
2670,17
3000,10
743,14
1762,9
4657,15
5822,14
2714,14
5497,1
554,15
2132,3
112,1
1667,7
5760,14
1391,12
4436,15
4561,6
1331,9
1380,5
5081,1
753,6
3354,12
4398,5
5400,4
1871,7
4651,9
5671,1
5893,12
5179,2
5015,12
2431,5
3559,9
2032,7
1561,9
1109,11
3739,10
3473,13
459,13
5390,2
1092,5
4793,15
4822,16
1916,15
3125,8
1760,8
3382,9
3379,8
5047,3
1764,16
1542,9
660,15
1797,11
2442,9
1912,10
3730,3
4592,11
5154,15
3238,5
2505,2
4698,16
76,9
5491,13
2745,7
4800,7
4317,8
1903,2
2311,7
4968,3
2982,3
392,3
2658,16
2145,16
3143,1
4872,18
3547,15
4279,2
258,11
85,12
1565,11
5999,11
2282,10
3462,17
3162,17
4117,17
3294,13
2125,4
3785,9
5275,11
4697,13
3997,3
1597,11
5278,8
2074,12
3564,7
1828,10
85,9
3099,3
5444,8
1941,17
3147,16
3459,6
343,6
4836,10
1351,6
2576,8
5904,17
5447,13
2173,14
5952,3
1937,18
1418,12
3823,8
1478,2
