planeID,planetypeID
1,243
2,83
3,151
4,129
5,83
6,195
7,130
8,68
9,189
10,82
11,198
12,205
13,99
14,65
15,231
16,129
17,36
18,108
19,75
20,97
21,31
22,201
23,58
24,234
25,186
26,136
27,83
28,145
29,72
30,127
31,61
32,132
33,147
34,91
35,165
36,57
37,111
38,197
39,235
40,217
41,39
42,167
43,65
44,75
45,236
46,37
47,234
48,81
49,62
50,218
51,206
52,150
53,39
54,204
55,122
56,142
57,107
58,223
59,126
60,110
61,164
62,5
63,64
64,58
65,65
66,85
67,211
68,147
69,123
70,152
71,193
72,107
73,218
74,64
75,22
76,117
77,94
78,44
79,149
80,134
81,223
82,191
83,203
84,96
85,11
86,49
87,25
88,70
89,150
90,69
91,71
92,83
93,103
94,131
95,191
96,143
97,202
98,172
99,74
100,85
101,203
102,27
103,134
104,240
105,35
106,240
107,195
108,233
109,150
110,234
111,203
112,54
113,185
114,239
115,19
116,113
117,85
118,170
119,224
120,81
121,109
122,213
123,84
124,172
125,113
126,37
127,172
128,20
129,77
130,120
131,26
132,226
133,159
134,173
135,154
136,135
137,155
138,245
139,129
140,162
141,196
142,24
143,116
144,11
145,17
146,101
147,239
148,135
149,145
150,28
151,238
152,130
153,64
154,82
155,137
156,123
157,162
158,75
159,146
160,205
161,80
162,65
163,184
164,174
165,157
166,190
167,165
168,10
169,60
170,240
171,200
172,223
173,137
174,111
175,204
176,228
177,147
178,52
179,5
180,115
181,111
182,80
183,89
184,108
185,147
186,2
187,99
188,91
189,59
190,137
191,122
192,191
193,92
194,193
195,74
196,2
197,99
198,70
199,101
200,64
201,105
202,230
203,5
204,43
205,82
206,61
207,159
208,74
209,138
210,69
211,215
212,150
213,117
214,152
215,33
216,86
217,139
218,152
219,91
220,203
221,197
222,154
223,37
224,154
225,158
226,217
227,22
228,93
229,180
230,232
231,146
232,7
233,29
234,158
235,37
236,83
237,99
238,157
239,132
240,63
241,29
242,55
243,211
244,94
245,22
246,108
247,101
248,238
249,246
250,182
251,8
252,192
253,160
254,212
255,225
256,226
257,166
258,139
259,57
260,115
261,28
262,96
263,10
264,130
265,105
266,199
267,6
268,186
269,14
270,207
271,49
272,85
273,104
274,109
275,78
276,35
277,43
278,168
279,102
280,139
281,156
282,111
283,36
284,58
285,100
286,77
287,165
288,139
289,98
290,94
291,68
292,228
293,61
294,243
295,243
296,9
297,155
298,6
299,161
300,60
301,80
302,117
303,228
304,28
305,5
306,51
307,71
308,88
309,214
310,92
311,62
312,25
313,48
314,162
315,120
316,179
317,90
318,126
319,31
320,152
321,36
322,126
323,145
324,161
325,158
326,56
327,174
328,68
329,58
330,140
331,18
332,232
333,124
334,109
335,166
336,194
337,127
338,103
339,105
340,221
341,101
342,51
343,101
344,212
345,31
346,70
347,178
348,16
349,139
350,26
351,75
352,4
353,77
354,120
355,29
356,149
357,63
358,164
359,165
360,122
361,163
362,140
363,178
364,231
365,218
366,77
367,56
368,205
369,82
370,47
371,241
372,163
373,104
374,105
375,200
376,114
377,64
378,171
379,175
380,34
381,110
382,200
383,6
384,205
385,214
386,152
387,1
388,83
389,47
390,217
391,176
392,29
393,134
394,87
395,209
396,179
397,7
398,209
399,59
400,22
401,139
402,198
403,238
404,169
405,172
406,229
407,51
408,183
409,23
410,42
411,138
412,197
413,236
414,49
415,242
416,156
417,229
418,232
419,27
420,131
421,161
422,45
423,101
424,150
425,52
426,105
427,208
428,32
429,159
430,78
431,157
432,41
433,209
434,70
435,5
436,34
437,92
438,180
439,237
440,186
441,103
442,183
443,143
444,80
445,177
446,180
447,164
448,56
449,9
450,206
451,240
452,10
453,61
454,46
455,152
456,73
457,38
458,205
459,144
460,116
461,75
462,69
463,242
464,178
465,180
466,183
467,53
468,20
469,168
470,103
471,168
472,203
473,11
474,1
475,50
476,30
477,39
478,143
479,205
480,223
481,212
482,158
483,24
484,42
485,26
486,143
487,114
488,76
489,95
490,107
491,177
492,240
493,45
494,159
495,233
496,111
497,172
498,14
499,30
500,84
501,62
502,24
503,238
504,246
505,53
506,11
507,31
508,61
509,227
510,111
511,174
512,39
513,135
514,94
515,178
516,138
517,28
518,230
519,215
520,192
521,189
522,13
523,25
524,54
525,151
526,157
527,54
528,43
529,59
530,137
531,187
532,62
533,157
534,106
535,76
536,135
537,71
538,96
539,51
540,4
541,55
542,147
543,222
544,246
545,40
546,207
547,176
548,223
549,5
550,152
551,182
552,149
553,155
554,121
555,187
556,93
557,174
558,193
559,70
560,53
561,169
562,103
563,160
564,201
565,23
566,69
567,134
568,187
569,185
570,155
571,103
572,99
573,77
574,192
575,150
576,78
577,218
578,149
579,221
580,187
581,44
582,213
583,52
584,84
585,94
586,70
587,63
588,152
589,29
590,81
591,95
592,114
593,196
594,48
595,197
596,171
597,20
598,77
599,118
600,160
601,36
602,16
603,74
604,14
605,6
606,129
607,79
608,35
609,209
610,197
611,146
612,152
613,106
614,39
615,133
616,22
617,55
618,21
619,235
620,70
621,117
622,48
623,85
624,116
625,165
626,88
627,74
628,171
629,126
630,216
631,142
632,196
633,95
634,111
635,200
636,91
637,46
638,139
639,106
640,76
641,208
642,188
643,127
644,235
645,84
646,172
647,78
648,215
649,25
650,105
651,245
652,166
653,148
654,132
655,173
656,147
657,63
658,227
659,243
660,142
661,56
662,236
663,169
664,135
665,96
666,111
667,44
668,206
669,5
670,207
671,17
672,31
673,161
674,28
675,209
676,111
677,181
678,54
679,197
680,227
681,120
682,107
683,88
684,80
685,20
686,112
687,126
688,218
689,168
690,205
691,220
692,194
693,141
694,66
695,166
696,134
697,216
698,74
699,89
700,110
701,29
702,195
703,31
704,178
705,82
706,97
707,26
708,3
709,93
710,110
711,246
712,246
713,232
714,113
715,107
716,62
717,140
718,73
719,54
720,174
721,136
722,182
723,242
724,244
725,134
726,87
727,226
728,222
729,185
730,75
731,177
732,114
733,85
734,182
735,172
736,181
737,157
738,18
739,66
740,198
741,132
742,202
743,151
744,124
745,112
746,213
747,100
748,238
749,136
750,163
751,45
752,146
753,108
754,55
755,216
756,62
757,242
758,174
759,121
760,110
761,186
762,70
763,64
764,75
765,198
766,182
767,143
768,130
769,79
770,31
771,166
772,5
773,176
774,236
775,156
776,130
777,111
778,116
779,45
780,142
781,41
782,35
783,102
784,59
785,133
786,234
787,149
788,168
789,12
790,46
791,207
792,97
793,25
794,91
795,89
796,229
797,121
798,59
799,199
800,231
801,1
802,156
803,215
804,223
805,157
806,53
807,31
808,21
809,15
810,77
811,69
812,226
813,220
814,215
815,87
816,190
817,97
818,165
819,101
820,212
821,179
822,175
823,55
824,138
825,197
826,85
827,144
828,14
829,66
830,46
831,162
832,73
833,91
834,189
835,66
836,188
837,13
838,84
839,161
840,113
841,126
842,29
843,86
844,226
845,109
846,219
847,38
848,224
849,221
850,152
851,2
852,188
853,106
854,209
855,189
856,173
857,53
858,101
859,60
860,4
861,193
862,83
863,48
864,65
865,28
866,233
867,231
868,178
869,4
870,80
871,4
872,65
873,163
874,142
875,14
876,179
877,227
878,232
879,96
880,56
881,228
882,1
883,20
884,184
885,229
886,195
887,87
888,150
889,126
890,241
891,106
892,95
893,79
894,149
895,160
896,220
897,194
898,181
899,212
900,213
901,246
902,139
903,44
904,163
905,144
906,180
907,101
908,63
909,169
910,13
911,133
912,228
913,69
914,109
915,18
916,203
917,59
918,69
919,123
920,17
921,174
922,162
923,95
924,221
925,84
926,122
927,55
928,53
929,217
930,147
931,178
932,181
933,212
934,13
935,134
936,155
937,190
938,178
939,197
940,19
941,31
942,76
943,127
944,228
945,205
946,46
947,95
948,216
949,90
950,190
951,105
952,177
953,9
954,82
955,71
956,17
957,143
958,201
959,232
960,244
961,145
962,65
963,198
964,207
965,42
966,182
967,54
968,9
969,2
970,45
971,70
972,142
973,12
974,90
975,174
976,70
977,219
978,87
979,73
980,87
981,243
982,24
983,199
984,147
985,204
986,228
987,78
988,76
989,216
990,15
991,178
992,243
993,50
994,76
995,157
996,172
997,91
998,175
999,75
1000,200
1001,239
1002,182
1003,134
1004,5
1005,12
1006,206
1007,50
1008,209
1009,17
1010,178
1011,151
1012,149
1013,85
1014,226
1015,30
1016,139
1017,168
1018,183
1019,21
1020,93
1021,34
1022,233
1023,205
1024,157
1025,128
1026,223
1027,164
1028,55
1029,186
1030,33
1031,37
1032,27
1033,162
1034,36
1035,192
1036,156
1037,224
1038,208
1039,236
1040,151
1041,50
1042,116
1043,68
1044,90
1045,11
1046,85
1047,203
1048,118
1049,144
1050,40
1051,191
1052,160
1053,188
1054,66
1055,33
1056,63
1057,139
1058,140
1059,158
1060,109
1061,210
1062,140
1063,226
1064,175
1065,101
1066,240
1067,171
1068,84
1069,18
1070,7
1071,92
1072,85
1073,205
1074,144
1075,16
1076,38
1077,141
1078,225
1079,168
1080,241
1081,127
1082,101
1083,212
1084,212
1085,246
1086,185
1087,82
1088,37
1089,69
1090,221
1091,222
1092,38
1093,236
1094,38
1095,79
1096,121
1097,114
1098,8
1099,76
1100,190
1101,185
1102,172
1103,76
1104,121
1105,158
1106,197
1107,183
1108,199
1109,85
1110,237
1111,33
1112,130
1113,152
1114,106
1115,7
1116,11
1117,219
1118,110
1119,104
1120,76
1121,143
1122,231
1123,225
1124,68
1125,228
1126,151
1127,100
1128,162
1129,109
1130,11
1131,235
1132,245
1133,92
1134,108
1135,122
1136,211
1137,4
1138,131
1139,142
1140,226
1141,5
1142,90
1143,83
1144,160
1145,227
1146,86
1147,208
1148,105
1149,22
1150,44
1151,223
1152,89
1153,11
1154,160
1155,4
1156,232
1157,9
1158,180
1159,221
1160,115
1161,128
1162,1
1163,169
1164,187
1165,216
1166,49
1167,193
1168,151
1169,147
1170,179
1171,18
1172,230
1173,239
1174,104
1175,66
1176,29
1177,43
1178,134
1179,235
1180,35
1181,10
1182,36
1183,227
1184,152
1185,208
1186,178
1187,155
1188,30
1189,224
1190,24
1191,102
1192,35
1193,201
1194,202
1195,141
1196,140
1197,82
1198,137
1199,106
1200,154
1201,172
1202,117
1203,189
1204,41
1205,169
1206,222
1207,55
1208,15
1209,114
1210,124
1211,75
1212,75
1213,191
1214,2
1215,106
1216,14
1217,74
1218,194
1219,233
1220,127
1221,83
1222,210
1223,22
1224,242
1225,146
1226,106
1227,126
1228,27
1229,143
1230,193
1231,99
1232,167
1233,151
1234,118
1235,177
1236,236
1237,95
1238,175
1239,184
1240,61
1241,114
1242,67
1243,235
1244,79
1245,229
1246,131
1247,184
1248,17
1249,172
1250,231
1251,29
1252,102
1253,44
1254,193
1255,199
1256,209
1257,96
1258,123
1259,192
1260,177
1261,8
1262,189
1263,115
1264,190
1265,56
1266,129
1267,153
1268,70
1269,182
1270,121
1271,230
1272,145
1273,67
1274,174
1275,161
1276,19
1277,132
1278,150
1279,108
1280,189
1281,42
1282,50
1283,138
1284,66
1285,198
1286,121
1287,89
1288,104
1289,21
1290,171
1291,86
1292,174
1293,89
1294,242
1295,104
1296,202
1297,217
1298,133
1299,44
1300,149
1301,245
1302,9
1303,41
1304,246
1305,4
1306,22
1307,80
1308,215
1309,48
1310,27
1311,30
1312,162
1313,36
1314,194
1315,1
1316,227
1317,182
1318,44
1319,152
1320,112
1321,214
1322,12
1323,197
1324,134
1325,193
1326,183
1327,166
1328,165
1329,82
1330,167
1331,193
1332,97
1333,99
1334,228
1335,200
1336,72
1337,46
1338,196
1339,18
1340,62
1341,218
1342,42
1343,134
1344,179
1345,187
1346,27
1347,30
1348,241
1349,170
1350,31
1351,27
1352,31
1353,14
1354,85
1355,142
1356,123
1357,101
1358,2
1359,103
1360,175
1361,39
1362,114
1363,116
1364,199
1365,99
1366,87
1367,84
1368,133
1369,246
1370,23
1371,35
1372,61
1373,183
1374,78
1375,97
1376,179
1377,120
1378,159
1379,175
1380,224
1381,80
1382,26
1383,197
1384,212
1385,49
1386,57
1387,80
1388,74
1389,207
1390,138
1391,138
1392,25
1393,204
1394,243
1395,221
1396,165
1397,91
1398,205
1399,207
1400,120
1401,246
1402,214
1403,242
1404,78
1405,112
1406,135
1407,181
1408,42
1409,8
1410,106
1411,229
1412,7
1413,31
1414,68
1415,169
1416,158
1417,119
1418,120
1419,177
1420,25
1421,51
1422,15
1423,192
1424,224
1425,181
1426,59
1427,45
1428,228
1429,142
1430,225
1431,97
1432,146
1433,113
1434,49
1435,157
1436,19
1437,42
1438,111
1439,99
1440,110
1441,142
1442,203
1443,15
1444,19
1445,224
1446,107
1447,53
1448,42
1449,47
1450,153
1451,34
1452,183
1453,169
1454,14
1455,139
1456,106
1457,48
1458,172
1459,121
1460,27
1461,131
1462,143
1463,8
1464,211
1465,243
1466,72
1467,56
1468,105
1469,199
1470,16
1471,219
1472,16
1473,203
1474,171
1475,212
1476,220
1477,1
1478,168
1479,231
1480,151
1481,107
1482,246
1483,173
1484,177
1485,183
1486,176
1487,21
1488,113
1489,204
1490,175
1491,80
1492,101
1493,20
1494,135
1495,117
1496,129
1497,140
1498,241
1499,101
1500,100
1501,12
1502,55
1503,244
1504,35
1505,129
1506,216
1507,47
1508,216
1509,222
1510,109
1511,64
1512,102
1513,187
1514,67
1515,124
1516,218
1517,1
1518,161
1519,141
1520,203
1521,4
1522,14
1523,216
1524,20
1525,51
1526,91
1527,193
1528,207
1529,178
1530,58
1531,7
1532,110
1533,94
1534,96
1535,117
1536,232
1537,22
1538,165
1539,221
1540,237
1541,17
1542,171
1543,53
1544,117
1545,122
1546,222
1547,98
1548,32
1549,50
1550,119
1551,176
1552,16
1553,25
1554,133
1555,199
1556,179
1557,184
1558,188
1559,185
1560,171
1561,169
1562,93
1563,75
1564,158
1565,81
1566,240
1567,9
1568,115
1569,209
1570,149
1571,132
1572,215
1573,26
1574,161
1575,135
1576,87
1577,41
1578,206
1579,106
1580,83
1581,98
1582,160
1583,103
1584,149
1585,112
1586,224
1587,196
1588,30
1589,118
1590,72
1591,175
1592,200
1593,155
1594,42
1595,190
1596,15
1597,206
1598,102
1599,232
1600,92
1601,49
1602,153
1603,46
1604,93
1605,34
1606,64
1607,95
1608,147
1609,175
1610,182
1611,232
1612,5
1613,179
1614,97
1615,97
1616,148
1617,72
1618,132
1619,236
1620,65
1621,94
1622,115
1623,13
1624,54
1625,160
1626,246
1627,8
1628,136
1629,97
1630,240
1631,147
1632,213
1633,68
1634,131
1635,105
1636,203
1637,175
1638,200
1639,104
1640,6
1641,211
1642,20
1643,219
1644,26
1645,66
1646,233
1647,80
1648,35
1649,1
1650,148
1651,13
1652,76
1653,145
1654,61
1655,170
1656,159
1657,112
1658,7
1659,157
1660,132
1661,17
1662,1
1663,114
1664,33
1665,226
1666,218
1667,211
1668,26
1669,150
1670,245
1671,116
1672,55
1673,148
1674,245
1675,186
1676,132
1677,189
1678,48
1679,155
1680,57
1681,136
1682,221
1683,156
1684,19
1685,176
1686,105
1687,45
1688,158
1689,12
1690,244
1691,195
1692,115
1693,135
1694,101
1695,112
1696,74
1697,171
1698,197
1699,242
1700,8
1701,191
1702,198
1703,226
1704,237
1705,171
1706,80
1707,137
1708,166
1709,158
1710,42
1711,195
1712,198
1713,140
1714,149
1715,3
1716,96
1717,223
1718,173
1719,153
1720,241
1721,56
1722,145
1723,15
1724,143
1725,43
1726,47
1727,78
1728,27
1729,234
1730,36
1731,53
1732,237
1733,146
1734,92
1735,50
1736,123
1737,67
1738,234
1739,182
1740,73
1741,116
1742,176
1743,160
1744,110
1745,216
1746,172
1747,39
1748,31
1749,132
1750,231
1751,67
1752,41
1753,5
1754,31
1755,216
1756,197
1757,194
1758,123
1759,162
1760,93
1761,165
1762,49
1763,211
1764,178
1765,156
1766,50
1767,13
1768,178
1769,180
1770,76
1771,146
1772,199
1773,92
1774,220
1775,119
1776,16
1777,56
1778,36
1779,101
1780,66
1781,118
1782,99
1783,189
1784,226
1785,50
1786,5
1787,244
1788,8
1789,4
1790,185
1791,106
1792,67
1793,135
1794,194
1795,102
1796,33
1797,31
1798,49
1799,154
1800,79
1801,144
1802,66
1803,146
1804,230
1805,45
1806,139
1807,64
1808,74
1809,66
1810,191
1811,177
1812,49
1813,69
1814,118
1815,135
1816,195
1817,137
1818,221
1819,197
1820,81
1821,146
1822,148
1823,177
1824,7
1825,230
1826,197
1827,27
1828,170
1829,67
1830,133
1831,90
1832,224
1833,9
1834,99
1835,81
1836,125
1837,126
1838,157
1839,80
1840,224
1841,116
1842,14
1843,218
1844,4
1845,67
1846,75
1847,16
1848,111
1849,21
1850,113
1851,169
1852,144
1853,168
1854,159
1855,81
1856,66
1857,16
1858,204
1859,201
1860,155
1861,111
1862,173
1863,132
1864,239
1865,127
1866,15
1867,215
1868,87
1869,161
1870,74
1871,109
1872,198
1873,10
1874,83
1875,1
1876,207
1877,5
1878,222
1879,3
1880,222
1881,159
1882,136
1883,205
1884,171
1885,160
1886,118
1887,11
1888,236
1889,112
1890,16
1891,219
1892,79
1893,63
1894,210
1895,49
1896,126
1897,152
1898,144
1899,217
1900,173
1901,196
1902,59
1903,107
1904,58
1905,138
1906,190
1907,60
1908,86
1909,93
1910,39
1911,120
1912,154
1913,112
1914,153
1915,167
1916,213
1917,66
1918,139
1919,81
1920,123
1921,15
1922,94
1923,169
1924,243
1925,142
1926,47
1927,242
1928,113
1929,232
1930,171
1931,74
1932,69
1933,18
1934,193
1935,197
1936,84
1937,31
1938,147
1939,123
1940,15
1941,137
1942,169
1943,107
1944,218
1945,73
1946,34
1947,124
1948,35
1949,237
1950,47
1951,42
1952,37
1953,175
1954,34
1955,129
1956,108
1957,78
1958,229
1959,61
1960,139
1961,160
1962,86
1963,144
1964,191
1965,6
1966,110
1967,40
1968,177
1969,115
1970,98
1971,222
1972,242
1973,118
1974,149
1975,40
1976,229
1977,129
1978,54
1979,68
1980,72
1981,187
1982,150
1983,117
1984,71
1985,147
1986,153
1987,69
1988,154
1989,190
1990,36
1991,229
1992,157
1993,187
1994,64
1995,16
1996,185
1997,50
1998,48
1999,142
2000,40
2001,122
2002,158
2003,26
2004,240
2005,84
2006,138
2007,139
2008,46
2009,217
2010,37
2011,43
2012,94
2013,198
2014,182
2015,99
2016,144
2017,22
2018,239
2019,212
2020,64
2021,125
2022,118
2023,243
2024,101
2025,22
2026,12
2027,180
2028,57
2029,243
2030,74
2031,199
2032,232
2033,211
2034,74
2035,178
2036,229
2037,49
2038,94
2039,94
2040,159
2041,61
2042,135
2043,165
2044,165
2045,166
2046,62
2047,163
2048,76
2049,6
2050,31
2051,84
2052,191
2053,239
2054,182
2055,146
2056,46
2057,137
2058,195
2059,7
2060,42
2061,71
2062,196
2063,67
2064,64
2065,137
2066,210
2067,146
2068,208
2069,245
2070,206
2071,159
2072,166
2073,174
2074,130
2075,93
2076,95
2077,35
2078,30
2079,173
2080,143
2081,22
2082,108
2083,88
2084,166
2085,207
2086,239
2087,225
2088,14
2089,200
2090,23
2091,27
2092,228
2093,137
2094,101
2095,156
2096,227
2097,132
2098,136
2099,103
2100,58
2101,240
2102,170
2103,82
2104,8
2105,2
2106,185
2107,96
2108,108
2109,70
2110,64
2111,34
2112,134
2113,29
2114,15
2115,18
2116,87
2117,81
2118,204
2119,189
2120,113
2121,116
2122,174
2123,89
2124,92
2125,219
2126,121
2127,93
2128,19
2129,52
2130,220
2131,12
2132,209
2133,46
2134,146
2135,198
2136,80
2137,10
2138,142
2139,221
2140,213
2141,192
2142,118
2143,23
2144,224
2145,210
2146,91
2147,149
2148,140
2149,20
2150,183
2151,3
2152,219
2153,41
2154,103
2155,194
2156,244
2157,193
2158,54
2159,126
2160,154
2161,181
2162,135
2163,222
2164,169
2165,170
2166,242
2167,31
2168,99
2169,175
2170,87
2171,131
2172,108
2173,229
2174,70
