airlineID,routeID,TV,n_meals,planeTypeID
328,4,NULL,NULL,152
328,8,NULL,NULL,186
1308,12,NULL,NULL,147
328,13,NULL,NULL,186
328,16,NULL,NULL,186
328,20,NULL,NULL,152
328,24,NULL,NULL,186
328,26,NULL,NULL,92
1308,26,NULL,NULL,64
4089,26,NULL,NULL,92
328,28,NULL,NULL,152
328,29,NULL,NULL,152
328,30,NULL,NULL,151
328,31,NULL,NULL,186
328,32,NULL,NULL,152
328,33,NULL,NULL,186
328,35,NULL,NULL,151
328,36,NULL,NULL,186
328,37,NULL,NULL,151
328,40,NULL,NULL,186
328,41,NULL,NULL,186
330,43,NULL,NULL,149
330,44,NULL,NULL,149
33,45,NULL,NULL,54
330,45,NULL,NULL,149
11838,45,NULL,NULL,54
330,46,NULL,NULL,149
502,47,NULL,NULL,4
1608,47,NULL,NULL,4
1623,47,NULL,NULL,6
1623,48,NULL,NULL,6
502,49,NULL,NULL,4
1608,49,NULL,NULL,4
2354,49,NULL,NULL,4
2354,50,NULL,NULL,4
330,51,NULL,NULL,54
3856,51,NULL,NULL,231
2354,53,NULL,NULL,7
2354,55,NULL,NULL,7
2354,56,NULL,NULL,7
330,57,NULL,NULL,151
330,58,NULL,NULL,151
330,59,NULL,NULL,151
2354,60,NULL,NULL,7
2354,61,NULL,NULL,7
2354,62,NULL,NULL,7
2354,63,NULL,NULL,4
2354,64,NULL,NULL,4
502,65,NULL,NULL,4
1608,65,NULL,NULL,4
1623,65,NULL,NULL,6
502,66,NULL,NULL,4
1608,66,NULL,NULL,4
1623,66,NULL,NULL,4
2354,67,NULL,NULL,4
2354,68,NULL,NULL,4
330,70,NULL,NULL,54
330,71,NULL,NULL,54
330,72,NULL,NULL,170
341,75,NULL,NULL,64
330,80,NULL,NULL,152
24,81,NULL,NULL,13
24,82,NULL,NULL,64
24,83,NULL,NULL,64
24,84,NULL,NULL,15
5265,84,NULL,NULL,15
330,85,NULL,NULL,122
5209,85,NULL,NULL,13
330,86,NULL,NULL,13
5209,86,NULL,NULL,13
330,87,NULL,NULL,75
5209,87,NULL,NULL,75
330,88,NULL,NULL,92
3320,88,NULL,NULL,92
3321,88,NULL,NULL,92
330,89,NULL,NULL,166
5209,89,NULL,NULL,166
330,90,NULL,NULL,122
5209,90,NULL,NULL,122
330,91,NULL,NULL,152
3734,91,NULL,NULL,114
330,92,NULL,NULL,170
330,93,NULL,NULL,151
5416,93,NULL,NULL,152
330,94,NULL,NULL,151
5416,94,NULL,NULL,152
330,95,NULL,NULL,15
5416,95,NULL,NULL,73
330,96,NULL,NULL,170
3090,97,NULL,NULL,64
330,98,NULL,NULL,151
5416,98,NULL,NULL,152
330,99,NULL,NULL,15
502,101,NULL,NULL,4
1608,101,NULL,NULL,4
1623,101,NULL,NULL,6
2354,101,NULL,NULL,4
502,102,NULL,NULL,4
1608,102,NULL,NULL,4
1623,102,NULL,NULL,6
502,103,NULL,NULL,4
1608,103,NULL,NULL,4
2354,103,NULL,NULL,4
2354,110,NULL,NULL,4
