airlineID,routeID,TV,n_meals,planeTypeID
328,4,0,0,152
328,8,0,0,186
1308,12,0,0,147
328,13,0,1,186
328,16,0,0,186
328,20,0,0,152
328,24,0,1,186
328,26,1,1,92
1308,26,1,1,64
4089,26,0,2,92
328,28,0,0,152
328,29,0,0,152
328,30,0,0,151
328,31,0,1,186
328,32,0,0,152
328,33,0,0,186
328,35,0,1,151
328,36,0,0,186
328,37,0,0,151
328,40,0,0,186
328,41,0,1,186
330,43,0,0,149
330,44,0,1,149
33,45,0,1,54
330,45,0,0,149
11838,45,0,1,54
330,46,0,0,149
502,47,0,0,4
1608,47,0,0,4
1623,47,0,0,6
1623,48,0,1,6
502,49,0,1,4
1608,49,0,0,4
2354,49,0,0,4
2354,50,0,0,4
330,51,0,0,54
3856,51,0,0,231
2354,53,0,0,7
2354,55,0,0,7
2354,56,0,0,7
330,57,0,1,151
330,58,0,0,151
330,59,0,1,151
2354,60,0,0,7
2354,61,0,0,7
2354,62,0,0,7
2354,63,0,1,4
2354,64,0,1,4
502,65,0,0,4
1608,65,0,0,4
1623,65,0,1,6
502,66,0,0,4
1608,66,0,0,4
1623,66,0,1,4
2354,67,0,0,4
2354,68,0,0,4
330,70,0,0,54
330,71,0,1,54
330,72,0,0,170
341,75,0,1,64
330,80,0,0,152
24,81,0,0,13
24,82,0,1,64
24,83,0,0,64
24,84,0,1,15
5265,84,0,0,15
330,85,0,0,122
5209,85,0,1,13
330,86,0,1,13
5209,86,0,1,13
330,87,0,0,75
5209,87,0,0,75
330,88,1,1,92
3320,88,1,2,92
3321,88,1,1,92
330,89,0,0,166
5209,89,0,0,166
330,90,0,1,122
5209,90,0,0,122
330,91,0,1,152
3734,91,0,0,114
330,92,0,1,170
330,93,0,0,151
5416,93,0,0,152
330,94,0,0,151
5416,94,0,0,152
330,95,0,0,15
5416,95,0,0,73
330,96,0,0,170
3090,97,0,0,64
330,98,0,0,151
5416,98,0,0,152
330,99,0,0,15
502,101,0,1,4
1608,101,0,0,4
1623,101,0,0,6
2354,101,0,0,4
502,102,0,1,4
1608,102,0,0,4
1623,102,0,1,6
502,103,0,0,4
1608,103,0,1,4
2354,103,0,0,4
2354,110,0,0,4
2354,111,0,0,4
2354,114,0,1,4
2354,115,0,1,4
2354,116,0,0,4
2354,117,0,0,4
2354,118,0,0,147
330,120,0,0,54
330,121,0,1,149
330,122,0,1,149
330,123,0,0,152
68,124,0,0,147
2354,124,0,1,4
330,125,0,0,54
330,129,0,1,151
330,130,0,0,149
330,131,0,0,149
2354,134,0,0,7
2354,135,0,0,7
2354,137,0,0,7
2354,138,0,0,4
24,140,0,0,166
5265,140,0,0,166
330,142,0,0,92
3320,142,0,1,92
3321,142,0,0,92
330,144,0,1,149
330,145,0,0,54
330,146,0,0,170
4021,146,0,1,152
330,147,0,1,54
330,149,0,0,149
330,150,0,0,54
330,151,0,1,15
4021,151,0,0,152
330,152,0,1,54
330,154,0,1,170
4021,154,0,0,152
330,155,0,0,170
2354,156,0,0,4
330,158,0,0,151
330,160,0,1,151
5416,160,0,0,152
24,161,0,1,182
5265,161,0,0,182
330,167,0,0,151
341,167,0,0,64
341,168,0,0,64
330,171,0,0,122
5209,171,0,0,122
330,172,0,0,151
330,174,0,0,122
5209,174,0,0,122
330,175,0,1,152
3734,175,0,0,114
330,178,0,1,170
341,181,0,0,64
330,185,0,1,149
5209,185,0,0,149
330,187,1,2,21
3320,187,1,2,21
3321,187,1,3,21
330,190,1,3,92
3320,190,1,2,92
