id,passengerID,flightID,luggageID,lost_object,description,color,accepted,amount
1,50822,152,40062,1,Proactive discrete benchmark,White,0,770
2,10388,184,81420,1,Right-sized maximized capability,Pink,0,427
3,40801,12854,137706,0,Advanced fault-tolerant capability,Red,0,73
4,54165,26,224886,1,Business-focused 4th generation definition,Red,0,896
5,83850,14880,229434,1,Adaptive mobile data-warehouse,White,1,303
6,69467,19197,7009,1,User-centric well-modulated website,Yellow,0,983
7,46497,14563,146731,0,Mandatory disintermediate Graphical User Interface,Black,0,187
8,80172,11628,85979,1,Mandatory transitional pricing structure,Pink,1,249
9,14410,9350,14572,0,Operative system-worthy array,Yellow,0,24
10,30044,818,197616,1,Focused logistical migration,Pink,0,254
11,31095,16229,201373,0,Distributed fault-tolerant throughput,Red,1,639
12,39994,14872,198255,0,Devolved tertiary database,Red,1,886
13,4066,10000,64561,0,Synergized multi-tasking toolset,Green,1,857
14,1496,5548,181739,0,Devolved methodical process improvement,White,0,54
15,13773,52,54386,1,,Red,0,874
16,15026,19179,28227,0,Secured next generation open architecture,Blue,1,640
17,16634,9911,51650,1,Public-key multi-tasking knowledge user,Pink,1,188
18,16557,87,145091,1,Cloned analyzing instruction set,Red,0,480
19,56033,12539,44408,1,Configurable asymmetric paradigm,Red,1,716
20,10420,19395,219643,1,Operative value-added paradigm,Black,1,533
21,18734,19398,150409,1,Face to face hybrid product,White,1,621
22,13547,19904,67914,1,Universal contextually-based migration,Yellow,0,836
23,4809,10015,154637,0,,Green,1,861
24,43843,19016,84229,1,Advanced optimal groupware,Yellow,0,422
25,61524,14873,135644,0,Innovative full-range initiative,Black,0,431
26,41844,17234,79069,0,Open-architected needs-based software,Blue,1,258
27,43924,4603,44544,1,,White,1,657
28,44552,12894,170339,1,,Yellow,1,326
29,11886,19294,68858,1,,Blue,1,569
30,27924,18083,52158,0,Horizontal human-resource matrices,Black,1,989
31,76009,186,71128,0,Decentralized national system engine,Green,0,56
32,93949,7080,8313,1,Adaptive real-time parallelism,Pink,1,718
33,37361,12883,86823,1,Programmable bi-directional focus group,Pink,0,852
34,85297,3928,132786,0,,Pink,1,563
35,85937,12158,197340,0,Organized exuding conglomeration,White,1,534
36,26542,14886,32470,0,,Pink,0,884
37,12995,19082,44323,0,Multi-lateral background extranet,Blue,1,577
38,10289,19738,104542,0,Synergistic 5th generation array,Green,0,294
39,88591,65,219869,0,Adaptive composite protocol,Green,1,786
40,29387,17237,223891,0,Multi-layered bandwidth-monitored structure,Black,1,769
41,47057,46,32189,1,,White,0,153
42,51337,8260,53864,1,Adaptive context-sensitive customer loyalty,Red,0,45
43,66540,14878,161332,0,Proactive dedicated groupware,Pink,0,37
44,45361,141,70477,0,Streamlined uniform secured line,Pink,1,998
45,32211,182,34663,1,Synchronised well-modulated analyzer,Blue,1,787
46,12254,19845,179354,1,Ameliorated optimal interface,Pink,1,516
47,35824,14050,233244,1,Cross-group 24 hour extranet,Black,0,721
48,77440,6,49648,0,Diverse logistical product,Red,0,151
49,74411,18255,155358,1,Grass-roots systemic analyzer,White,0,604
50,73734,14875,17271,0,Streamlined impactful open architecture,Pink,0,60
51,3226,194,54470,1,Ergonomic encompassing archive,Green,0,601
52,34177,8931,83755,1,Managed exuding task-force,White,0,655
53,47998,8406,84981,0,,Green,1,592
54,50816,14371,52593,1,Business-focused 24 hour conglomeration,White,1,685
55,60284,818,232115,0,Progressive transitional product,Red,0,53
56,21222,14782,182029,0,,Pink,0,510
57,19120,19167,147549,1,Assimilated attitude-oriented capacity,Yellow,0,341
58,11414,6610,179936,1,Grass-roots maximized complexity,Yellow,0,885
59,47284,8558,168878,1,,Blue,1,566
60,85455,14880,223885,1,Reverse-engineered radical ability,Blue,1,971
61,62288,20487,42735,1,Centralized responsive analyzer,Yellow,0,643
62,61639,7429,23327,1,De-engineered incremental middleware,Pink,0,598
63,9323,12442,43688,1,,Black,0,492
64,64842,14406,200244,0,,Pink,1,115
65,11310,12823,80227,0,Multi-tiered discrete archive,White,1,349
66,37611,2161,31906,1,Team-oriented asymmetric pricing structure,Black,1,23
67,19055,12607,135732,0,Expanded maximized extranet,Yellow,0,929
68,76154,17225,17780,0,Programmable motivating open architecture,Yellow,1,626
69,48772,16663,189731,0,Monitored context-sensitive initiative,Black,1,856
70,35094,7080,57571,0,Implemented bi-directional task-force,Green,0,635
71,18102,19950,36007,1,Virtual impactful hub,Red,0,313
72,33255,14953,153159,0,User-centric multi-state product,Red,0,231
73,21168,12129,34307,0,Open-architected intangible time-frame,Yellow,0,150
74,53058,14783,218714,1,Triple-buffered discrete matrix,Blue,1,560
75,42094,8713,211881,1,Function-based zero tolerance contingency,Pink,1,248
76,25714,14452,101678,1,Optimized web-enabled moratorium,Black,1,113
77,1541,12041,165029,0,Robust eco-centric knowledge base,Green,1,815
78,12494,19331,85308,0,Horizontal high-level access,Red,1,649
79,13849,12929,183805,1,Function-based national analyzer,Black,1,383
80,77507,91,232753,1,Total mobile structure,White,0,241
81,16490,19991,20442,0,Proactive 4th generation capacity,Blue,0,929
82,10596,14655,223645,1,Distributed disintermediate frame,Yellow,1,115
83,41570,8148,57156,0,Reactive eco-centric moratorium,White,1,642
84,42372,8720,205330,1,Down-sized systemic orchestration,Pink,0,791
85,81747,14119,94917,0,,Yellow,1,611
86,45597,14589,78966,1,Grass-roots non-volatile product,Red,1,870
87,9209,14077,164757,1,,Red,0,782
88,63706,136,131776,0,,Pink,0,302
89,20414,13926,19061,0,Focused heuristic paradigm,Black,0,549
90,47446,8850,218294,1,,White,1,462
91,15412,13067,98268,1,Public-key interactive encoding,Black,1,181
92,46117,8781,3618,1,,Green,1,561
93,72593,12655,40454,1,Horizontal global installation,Black,0,923
94,44440,8578,143032,1,Realigned solution-oriented info-mediaries,White,0,545
95,9499,12621,74641,0,,Red,1,193
96,47743,12527,17589,1,,Red,0,771
97,16184,6844,22093,0,Assimilated interactive utilisation,Blue,0,736
98,91719,17621,190344,1,Synergized maximized internet solution,Black,0,843
99,28694,53,103596,0,Exclusive maximized migration,Black,1,379
100,19282,12830,201521,0,Horizontal intangible circuit,Blue,0,229
101,58844,191,18997,0,Advanced well-modulated website,Yellow,0,372
102,50227,7146,100014,1,,White,0,799
103,45373,72,76718,1,Versatile logistical Graphic Interface,Yellow,1,149
104,1810,14796,102863,1,Virtual mission-critical website,Green,1,31
105,74641,196,234102,0,Pre-emptive responsive contingency,Black,0,738
106,96998,28,64545,0,Devolved secondary task-force,Green,1,206
107,46070,12301,213229,0,Face to face human-resource portal,Blue,1,513
108,43807,8999,174605,1,,Yellow,1,96
109,40023,12748,147649,0,Enterprise-wide cohesive hardware,Pink,1,484
110,86515,50,98827,1,Public-key 6th generation archive,Pink,0,719
111,19662,42,135774,0,,Black,0,527
112,14335,19950,5901,1,Persistent methodical orchestration,Green,1,232
113,864,104,227647,0,Face to face multi-state collaboration,Blue,0,86
114,28191,1631,202297,0,Persevering national frame,Yellow,1,269
115,92836,14812,99029,0,Robust grid-enabled functionalities,Yellow,1,820
116,46662,14378,133112,0,,Pink,1,727
117,17738,9,204376,0,Future-proofed full-range circuit,Pink,0,246
118,79047,14053,186470,0,Managed grid-enabled project,White,0,550
119,74671,14486,198991,0,User-friendly responsive database,Red,1,473
120,24042,26,134557,0,Profound dynamic open system,Green,1,110
121,52956,14889,136219,1,Multi-channelled holistic hardware,Blue,1,796
122,49891,8571,185417,0,Fundamental mobile migration,Black,1,464
123,13680,28,50475,1,Advanced modular pricing structure,Yellow,1,981
124,47367,12682,32483,0,Organized next generation task-force,Black,1,71
125,15836,17237,138856,0,Reverse-engineered actuating forecast,Pink,1,910
126,70419,135,14777,1,Decentralized incremental neural-net,Pink,0,991
127,15558,19099,96485,1,Right-sized incremental focus group,Black,0,552
128,51610,747,61347,1,Profit-focused zero administration framework,Pink,0,987
129,14899,19642,74306,1,Self-enabling context-sensitive support,White,1,255
130,23725,33,178469,0,Upgradable maximized middleware,White,0,200
131,24143,14114,200499,1,Adaptive local matrices,Green,1,401
132,26407,12470,150611,0,Synergistic 3rd generation orchestration,Yellow,0,688
133,16777,19585,16687,0,Expanded responsive benchmark,Yellow,0,262
134,10709,19332,160618,1,,Black,1,914
135,31614,14828,192043,1,Organized contextually-based hub,Pink,1,650
136,52837,52,191141,0,Customizable bifurcated open system,Green,0,153
137,7688,402,195920,0,,Black,0,753
138,53825,14970,19973,1,Multi-lateral 3rd generation circuit,White,0,420
139,18132,19514,69350,0,Compatible global time-frame,Black,0,182
140,20643,12198,30839,0,,White,0,346
141,73166,10002,97931,0,Total modular intranet,Red,0,414
142,14186,14648,13310,0,,Blue,0,993
143,21367,61,22755,0,Persistent bi-directional installation,Green,1,863
144,39289,12998,224989,0,Multi-channelled regional website,Blue,0,341
145,42826,8913,180367,0,Reduced uniform middleware,Pink,1,891
146,2084,14880,136299,0,,Yellow,1,38
147,43006,15964,91751,0,Synchronised coherent secured line,Green,0,561
148,41316,9072,17533,0,,Blue,1,80
149,88437,14998,183078,1,Exclusive regional hardware,Red,0,308
150,88334,17239,200828,0,Devolved needs-based flexibility,Blue,0,323
151,14001,12928,33569,1,Synergized client-driven superstructure,Yellow,0,831
152,77912,17956,75429,0,Distributed clear-thinking strategy,White,0,270
153,15484,14016,159813,0,Multi-channelled responsive portal,Blue,0,86
154,80048,14096,163534,1,,Black,0,366
155,64268,14874,31793,1,,White,0,720
156,53747,14753,51400,0,Innovative asymmetric portal,Red,1,543
