clothesID,color,type
1,Red,Cap
2,Silver,Shoes
3,Yellow,T-shirt
4,Purple,Skirt
5,Red,Bag
6,White,Hat
7,Pink,Cap
8,Pink,Jeans
9,Blue,Coat
10,Yellow,Skirt
11,Blue,Dress
12,Multi-Colored,Skirt
13,Orange,Cap
14,Green,Coat
15,Blue,Dress
16,Yellow,Sunglasses
17,Golden,Hoodie
18,Golden,T-shirt
19,Yellow,Hoodie
20,Orange,Jewlery
21,Orange,Coat
22,Red,Skirt
23,Golden,Socks
24,Orange,T-shirt
25,White,Flip-Flops
26,Silver,Jeans
27,Orange,Sunglasses
28,Orange,Purse
29,Red,Cap
30,Multi-Colored,Jewlery
31,White,Shoes
32,Silver,Socks
33,Orange,Skirt
34,Silver,Skirt
35,Blue,Hoodie
36,White,Socks
37,White,T-shirt
38,White,Shorts
39,Red,Jewlery
40,Green,Hat
41,Pink,Coat
42,Golden,Jeans
43,Green,Coat
44,Purple,Skirt
45,Pink,Hoodie
46,Orange,Hoodie
47,Silver,Socks
48,Yellow,Shorts
49,Magenta,Coat
50,Red,Coat
51,Multi-Colored,Shoes
52,Green,Jeans
53,Orange,Purse
54,Purple,Bag
55,Green,Socks
56,Orange,Shorts
57,Pink,Hoodie
58,Yellow,Swimsuit
59,Magenta,Flip-Flops
60,Orange,Shorts
61,Green,Shorts
62,White,Swimsuit
63,Orange,Bag
64,Purple,Jewlery
65,Red,Hoodie
66,Magenta,Coat
67,Orange,Jewlery
68,Green,Shorts
69,Multi-Colored,T-shirt
70,Blue,Shorts
71,Pink,Jeans
72,Red,Bag
73,Red,Skirt
74,Pink,Bag
75,Multi-Colored,Hoodie
76,Silver,Jewlery
77,Multi-Colored,Hoodie
78,Orange,Jewlery
79,Silver,Shoes
80,Multi-Colored,Jewlery
81,Purple,Shorts
82,Green,Hoodie
83,Green,Coat
84,Pink,Purse
85,Yellow,Skirt
86,Blue,Dress
87,Green,Socks
88,Yellow,Jeans
89,Orange,Shorts
90,Red,Suit
91,White,Cap
92,Red,Coat
93,Magenta,Jewlery
94,Red,Socks
95,Blue,Purse
96,Purple,Bag
97,Golden,Skirt
98,Orange,Shorts
99,Green,Cap
100,Silver,Suit
101,Red,Dress
102,Golden,Sunglasses
103,Orange,Jeans
104,Red,Dress
105,Orange,Suit
106,White,Shorts
107,Yellow,Jewlery
108,Silver,Shoes
109,Silver,Sunglasses
110,Red,Dress
111,Purple,Hoodie
112,Yellow,Hoodie
113,Pink,T-shirt
114,Red,Jewlery
115,Red,Purse
116,Red,Jeans
117,Pink,Jeans
118,Orange,Hoodie
119,Orange,Skirt
120,Yellow,Jewlery
121,Blue,Cap
122,Purple,Jewlery
123,Multi-Colored,Jeans
124,Magenta,Shorts
125,Orange,Jeans
126,Pink,Sunglasses
127,Purple,Purse
128,White,Flip-Flops
129,Red,Shorts
130,Golden,Jeans
131,Green,Cap
132,Magenta,Coat
133,Yellow,Flip-Flops
134,Red,Hoodie
135,Purple,Coat
136,Golden,Hat
137,Yellow,Swimsuit
138,Yellow,Dress
139,Orange,Hat
140,Green,Flip-Flops
141,Yellow,Socks
142,Pink,Jeans
143,Red,Purse
144,Magenta,Suit
145,Yellow,Shorts
146,Multi-Colored,Purse
147,Yellow,Swimsuit
148,Magenta,Shorts
149,Silver,Hat
150,Magenta,Bag
151,Blue,Hoodie
152,Silver,Swimsuit
153,Orange,Swimsuit
154,Orange,Shorts
155,Purple,Bag
156,Orange,Dress
157,Yellow,Shoes
158,Yellow,Suit
159,Red,Dress
160,Golden,Shorts
161,Silver,Jewlery
162,White,Skirt
163,Orange,Hat
164,Purple,Suit
165,Pink,Coat
166,Yellow,T-shirt
167,Pink,Shorts
168,Orange,Skirt
169,Blue,Suit
170,Golden,Bag
171,Silver,Skirt
172,Orange,Coat
173,Orange,Swimsuit
174,Blue,Suit
175,Green,Bag
176,Orange,Hat
177,Pink,Socks
178,Purple,Skirt
179,Orange,Jeans
180,Red,Suit
181,Orange,Cap
182,Multi-Colored,Skirt
183,Purple,Socks
184,Orange,T-shirt
185,Orange,Skirt
186,Magenta,Sunglasses
187,Orange,Shoes
188,Purple,Flip-Flops
189,Orange,Shoes
190,Blue,Hat
191,Pink,Cap
192,Blue,Coat
193,Orange,Hat
194,Purple,Coat
195,Red,Dress
196,Golden,Jewlery
197,Orange,Dress
198,Purple,Socks
199,Yellow,Bag
200,Orange,Suit
201,White,Sunglasses
202,Green,Hoodie
203,Orange,Sunglasses
204,Blue,Bag
205,Blue,Jeans
206,Multi-Colored,Hoodie
207,Orange,Coat
208,Multi-Colored,Jeans
209,Orange,Flip-Flops
210,Red,Hat
211,Orange,Hoodie
212,Yellow,Bag
213,Orange,Coat
214,Magenta,Shorts
215,Golden,Jeans
216,Green,Hoodie
217,Golden,Skirt
218,Magenta,T-shirt
219,Pink,Shorts
220,Green,T-shirt
221,Orange,Hoodie
222,Orange,Swimsuit
223,Orange,Hoodie
