date,gate,departure_hour,statusID
2012-06-30,I7,14:57,3
2019-01-13,T1,5:50,1
1954-09-26,N5,4:02,1
1981-06-12,I6,12:45,4
1990-11-04,E2,1:03,1
1981-02-06,Y3,2:34,1
2002-07-19,B4,5:21,8
1984-03-31,U6,10:17,7
2015-08-14,B9,12:19,1
1990-11-07,R6,23:56,5
2000-06-07,X1,18:45,7
1976-01-31,K0,9:25,1
2017-06-13,A9,5:55,1
2017-09-18,N6,18:53,5
1997-06-12,Y0,21:23,2
1964-03-07,C5,20:20,3
1967-05-31,X9,2:44,1
1979-09-23,N4,12:50,5
1957-04-02,B3,18:27,4
1976-05-12,D6,9:42,1
1985-05-09,R6,18:44,1
1955-12-19,W3,2:02,8
1994-01-13,P0,6:15,1
1985-11-05,N5,21:05,3
1975-01-22,G0,2:17,3
1988-02-23,Z4,14:20,2
1986-09-11,L7,8:49,1
2012-09-02,P1,21:53,3
1951-09-24,E2,5:40,6
2006-04-15,Q6,2:14,9
1964-12-15,L7,12:46,1
1983-03-07,O3,7:51,2
1969-02-03,A3,2:23,2
1980-10-06,X3,9:41,1
2003-09-05,E8,16:13,1
1952-02-11,V3,4:17,1
2011-05-10,I6,17:12,7
1979-10-15,I5,0:39,2
1971-01-30,V1,8:42,15
2016-02-23,S3,3:52,1
1996-04-12,U0,19:33,1
2009-01-18,C0,22:59,1
1968-04-12,W5,4:48,1
1965-11-15,G8,19:37,1
2017-04-25,B0,16:26,6
1965-05-07,X3,4:30,1
2003-09-21,Q4,3:32,4
1974-07-23,R1,11:08,1
1965-04-24,X5,10:26,1
2016-06-23,A4,0:56,7
1967-11-26,A8,22:18,1
1992-07-25,B7,12:05,1
2000-05-10,Z5,16:39,2
1993-03-08,E0,8:43,4
1961-08-09,Z7,1:08,5
1965-03-07,Z0,6:33,4
2017-05-25,Y7,14:06,1
1994-02-16,O7,22:08,1
1993-04-25,K3,17:38,9
1980-12-12,E6,20:05,10
1982-01-17,L6,4:23,5
1992-07-22,B4,3:29,1
2005-01-24,N5,20:01,5
1970-05-14,K4,1:06,11
1968-12-06,N9,3:26,1
1992-05-28,W9,11:52,6
1960-02-10,I2,6:14,1
1957-09-18,L6,5:30,11
2014-10-17,O3,21:05,9
2014-06-04,H3,12:03,1
1967-05-19,R6,4:35,1
2016-06-11,S8,6:32,2
1999-07-07,Q0,23:14,1
2015-07-18,L6,11:14,1
1989-08-02,N4,5:59,4
1973-07-25,S8,14:05,2
1979-05-14,V1,4:17,1
2008-09-29,Q5,3:00,1
2000-02-28,H6,21:30,3
1951-11-28,Q6,20:54,10
1958-02-20,G8,8:07,1
1959-07-26,P5,23:39,1
1955-11-19,S6,5:38,1
1974-07-12,E3,1:56,2
1997-11-01,A1,14:17,5
2000-03-04,L3,7:27,1
1961-08-20,K9,21:12,1
1987-03-23,W4,1:42,2
1978-08-31,G2,9:06,1
2003-03-05,U9,0:57,1
1987-11-10,L0,0:03,1
1957-10-27,B5,9:03,1
1988-07-04,Q5,6:45,2
2008-03-08,A6,18:42,1
1967-07-26,W0,16:16,1
1983-11-26,F6,14:59,8
1967-01-05,D0,20:27,1
2003-09-22,W1,22:31,1
1954-04-18,Q0,13:33,1
1980-11-22,M0,5:44,1
1979-11-05,S8,0:47,1
2007-09-03,P1,13:41,6
1980-04-17,J6,3:39,1
2020-05-26,C3,23:07,1
1960-01-14,V7,6:56,1
1969-12-30,M0,1:48,2
1967-04-15,O7,23:26,1
1983-12-19,R9,20:23,2
2006-08-13,P9,15:46,1
2009-03-18,G4,18:57,5
1952-07-13,U5,19:48,1
1993-04-11,O2,23:29,1
1954-12-24,E4,6:25,5
1954-06-05,L3,23:57,1
1967-01-13,J7,21:45,1
1963-10-27,T3,4:28,9
1962-11-02,H4,19:18,1
2018-02-11,J5,7:53,1
1985-04-27,R8,3:21,1
1974-02-26,C9,15:17,1
1960-11-12,K4,9:21,3
1950-01-15,K1,14:52,9
1993-07-30,C9,6:24,8
1996-06-27,T7,11:41,1
2011-08-30,V8,18:49,2
1968-11-02,Y8,8:06,1
2019-09-20,S7,0:10,4
1950-01-06,U4,17:02,1
1989-02-25,L7,6:57,5
1975-06-17,I4,9:26,10
2000-03-23,X5,1:09,2
1986-02-21,W5,1:31,2
1985-07-07,O8,18:02,1
2006-06-09,U6,1:21,3
2013-04-11,R2,5:00,6
2015-08-01,R1,6:55,1
1964-04-15,L6,9:51,1
1996-10-09,B5,16:28,4
1998-03-02,F4,14:40,1
1957-10-13,O4,5:28,3
1966-10-13,E9,21:54,1
1972-11-12,F5,13:06,1
2016-02-13,V4,10:21,2
1976-09-26,F0,11:18,1
1998-07-15,L4,21:00,6
1960-06-15,C1,10:58,1
2019-02-09,R7,13:14,2
2004-07-29,G7,4:59,2
1986-01-31,X3,17:26,15
1987-09-25,M9,17:50,1
2014-07-19,H0,14:18,3
1991-05-09,X6,6:25,1
2012-03-22,I9,11:51,1
2012-12-27,I1,7:59,1
1953-12-22,V0,9:03,4
1954-08-02,L6,19:41,10
2002-05-09,W6,4:08,1
1971-01-09,X4,23:29,4
2016-12-17,O2,11:24,9
1997-10-19,R2,22:59,3
1988-12-19,Q5,7:12,1
1966-07-16,M1,10:24,1
1957-07-11,Q5,7:28,7
2018-03-31,X2,23:15,2
1958-05-20,W9,1:09,11
2000-10-21,G4,21:01,9
1987-02-13,D3,8:43,1
1954-12-02,J6,10:52,1
1970-01-19,L4,17:12,1
2003-12-17,X3,22:57,1
1995-11-04,S3,3:13,1
1984-05-23,E0,10:41,2
1978-11-07,N2,7:25,15
1995-05-03,O9,7:07,11
2018-09-22,P6,16:28,1
1954-08-15,P3,6:54,1
2006-01-05,J8,22:53,3
1994-09-15,G0,14:45,3
2012-12-25,D9,22:37,1
1969-02-10,K0,20:16,6
1980-02-02,D4,13:55,1
2019-01-01,M4,15:38,4
2011-11-28,M3,17:29,1
2016-09-25,H3,6:19,9
1975-12-22,B2,2:52,1
1990-01-24,O7,2:30,1
1984-03-16,T4,18:27,1
1988-10-01,Q2,1:06,15
2020-11-08,R3,12:30,2
1971-06-09,V0,2:31,3
1987-01-08,V9,16:16,1
2001-01-29,Y9,17:52,1
1966-06-02,K6,4:43,10
1975-09-09,U6,7:46,1
1963-10-26,S0,20:56,1
1977-07-11,R4,11:55,6
1952-11-20,O4,13:44,1
1956-08-31,V4,20:21,1
1978-05-27,W1,20:08,1
1997-04-04,D9,17:35,1
2008-10-14,B5,15:44,1
2001-12-24,I4,8:43,1
2006-02-21,W2,11:26,1
2013-10-30,P6,18:31,1
1953-01-11,A0,8:51,1
1986-05-11,O0,19:42,1
1957-06-06,L3,15:50,1
2002-12-19,I1,19:24,1
1998-04-04,J2,19:46,5
2007-11-17,Y5,21:08,6
2008-03-20,M4,7:59,1
1998-04-27,R6,10:30,2
1973-01-14,G0,20:04,1
1972-05-23,O0,6:42,1
1994-11-10,A5,22:57,9
2015-08-20,I0,10:56,1
1972-03-25,L6,20:11,2
1965-12-23,R0,18:46,1
1980-05-09,K8,5:59,6
1971-12-31,K7,0:03,1
1953-04-13,D6,5:20,1
2003-03-18,E8,0:58,1
2004-05-20,J4,21:04,2
1968-10-10,V6,22:47,11
1988-09-23,G9,10:12,3
1962-09-19,Z9,5:05,3
1968-10-23,F3,20:32,6
1993-09-06,J0,16:29,5
2002-08-29,G9,9:36,1
1977-05-30,C9,8:30,5
1984-01-13,Z5,15:51,11
1989-11-01,V6,7:06,4
1987-12-25,O7,20:36,9
2019-01-06,Q3,12:50,2
2017-02-16,F9,12:11,1
1959-10-19,O3,14:19,1
1964-06-03,H8,20:07,1
1966-09-05,X8,17:08,6
1963-10-04,A8,12:42,6
1950-08-11,X1,8:13,3
1991-01-31,A7,22:29,1
1959-07-12,G0,20:16,1
1973-05-10,N6,2:48,5
1957-04-30,P0,4:09,1
1997-04-28,L4,0:18,3
2013-12-23,A6,4:17,1
1961-08-23,Y1,16:13,1
1977-01-16,Q4,16:22,3
1955-06-29,S0,23:58,1
1955-04-08,Z1,9:33,3
2014-06-09,M0,2:13,8
1959-06-11,R4,1:22,8
1993-01-12,Z7,2:23,1
2010-04-30,X5,12:43,1
1979-08-10,X8,9:55,5
2004-03-20,S8,12:06,1
1973-02-02,E2,11:29,1
1979-05-07,H0,21:33,8
2012-06-03,Y0,13:12,1
1961-12-08,S5,7:17,2
1965-12-10,H0,21:14,1
1977-11-03,G0,15:16,1
1955-09-05,D8,22:10,1
2007-01-15,P8,19:56,7
1974-09-19,U6,9:08,1
1993-09-10,I9,19:46,11
2009-11-24,V3,12:27,1
1973-04-21,X2,21:22,1
1984-09-29,O4,1:47,1
1994-07-26,B2,2:15,1
1967-09-04,H3,11:15,1
1994-10-31,N6,10:49,6
1994-04-05,E2,2:21,5
1960-05-17,Y4,20:01,1
1996-10-30,W8,8:11,1
1984-06-06,S8,10:41,11
1959-08-10,C4,16:59,3
2016-11-11,P4,11:04,3
2003-07-07,Y0,17:51,5
1977-11-14,C0,20:52,1
1970-01-04,F9,14:35,4
1965-10-03,M1,12:57,1
1977-05-20,M4,21:40,1
1959-05-13,L2,9:41,1
1977-06-07,T7,22:03,1
2006-05-21,M1,6:22,1
1971-05-06,T8,22:41,1
1954-09-14,H0,21:06,1
1983-03-01,A4,8:28,5
1959-02-13,R8,0:16,1
1954-06-20,H2,8:41,1
1970-05-11,D2,16:48,1
1988-11-21,F2,8:38,11
2006-12-05,A8,16:55,1
1950-10-25,V0,23:27,15
1987-03-18,C4,0:31,3
1999-07-22,N0,20:37,1
2016-10-30,C4,7:59,6
1989-05-12,Z8,23:34,5
1985-06-02,D2,7:23,2
2006-05-17,D4,14:37,11
1986-10-07,X6,7:00,2
2001-11-07,P2,20:24,1
1966-01-15,Y3,12:30,2
1980-05-29,O8,5:10,2
1989-02-24,U2,5:51,1
2009-03-17,Z3,23:16,15
1950-02-02,A8,2:56,1
2020-11-21,W4,9:24,2
1966-09-11,J2,5:50,1
1953-12-24,S2,15:58,1
1966-09-05,B1,7:49,10
1982-12-18,R3,5:56,2
1985-06-11,Q4,4:59,6
2005-03-30,B7,0:24,1
2020-08-13,H1,19:50,12
1980-03-05,Z1,10:38,1
2001-07-03,Q8,1:33,8
1956-03-13,V2,1:07,1
1959-02-20,V3,3:07,1
1971-10-16,L7,15:44,1
1977-10-12,S1,2:34,1
1968-06-03,F2,15:00,2
2006-08-15,X0,3:43,1
1987-07-03,T8,6:57,1
1996-02-10,S0,21:29,7
1964-11-13,A4,9:39,13
2018-07-28,K1,12:03,7
2007-05-11,O5,10:35,2
1990-12-11,Y0,18:52,3
2007-05-15,X2,5:00,11
2010-02-24,G2,2:28,1
1975-09-04,N7,5:18,1
1993-06-19,C0,13:50,1
2004-06-15,A1,2:18,2
1994-04-29,P3,9:38,1
1996-06-05,C5,12:03,9
2008-05-02,Y8,3:29,5
1980-08-31,I4,23:24,1
1959-09-05,M9,1:46,1
1958-11-17,L5,20:51,1
1994-10-12,W2,7:38,11
1967-01-06,V6,22:02,1
2004-01-22,E6,23:56,2
2017-08-15,M0,14:49,2
2013-04-20,M5,14:30,8
1998-12-14,W5,7:12,3
1979-03-06,J7,6:34,1
1969-04-02,V4,6:16,3
1988-12-27,T7,6:19,1
1961-11-19,L2,0:35,3
2021-01-15,B0,11:12,1
1991-09-10,X6,4:56,6
1986-03-14,W1,17:31,8
1988-04-05,Q0,20:32,1
2016-07-09,O6,7:14,1
2014-11-07,F1,3:33,1
1955-10-29,U4,3:19,1
1986-03-22,K7,6:49,1
1956-04-04,B0,9:39,1
1953-09-07,Z1,21:31,3
1981-10-03,Q5,3:36,1
1966-09-23,Q9,19:15,1
1964-04-02,E3,3:29,4
1997-01-18,I7,16:13,1
1955-11-11,I2,11:01,1
1997-08-31,O1,7:15,1
1987-08-19,D6,7:10,1
1950-11-01,M2,0:23,1
1964-03-15,F6,17:18,1
1997-04-18,Q7,16:08,1
2014-11-22,M3,5:24,1
1990-03-10,Y7,19:00,5
1976-10-03,M2,22:18,1
1976-02-15,F3,9:47,1
2004-08-29,K4,19:39,1
1991-02-16,Y9,20:49,1
1963-05-10,Y9,8:33,1
1997-12-31,L9,15:24,1
1973-06-07,H4,4:29,1
1959-08-12,T9,16:58,2
1955-11-08,T2,18:28,1
2010-03-05,H3,3:25,1
1958-11-16,I6,21:48,1
2003-08-24,U7,11:02,1
1951-10-24,P7,23:34,13
1999-04-17,J1,2:30,1
1959-12-31,S0,17:34,3
1983-01-06,D7,7:04,7
1957-04-14,D9,7:43,1
2000-03-04,Z4,8:46,5
1956-01-13,C8,9:23,1
2017-04-20,Q8,18:12,10
2013-12-07,W8,15:46,5
1993-07-14,T4,13:47,1
1991-02-06,O4,3:20,1
2004-04-10,F3,4:39,1
1981-01-04,W3,18:23,1
1969-04-08,A4,8:47,1
1994-07-22,Y0,0:13,1
1996-10-11,M7,3:50,4
1992-08-21,O4,20:39,7
1958-06-23,D5,3:46,1
1959-01-21,E6,7:05,1
1975-03-07,K0,3:27,1
1975-02-10,H8,22:05,1
2000-11-20,V7,22:15,1
1979-04-02,L1,2:04,1
1975-01-19,G5,14:48,3
1992-05-21,Z3,15:39,1
1970-03-31,Y9,9:54,6
2002-08-28,G8,12:57,1
2008-08-09,T8,19:31,3
1982-06-17,D8,0:27,1
1967-12-24,K3,14:37,1
1973-02-07,Y7,2:34,7
1975-02-23,Y5,2:45,6
1954-01-02,E5,19:37,5
1997-01-19,Y7,20:24,1
1962-10-06,H6,12:50,1
1982-03-19,B2,5:41,1
1990-11-07,J9,18:30,5
1951-07-15,D9,19:29,12
2021-03-04,P2,23:52,3
2014-08-04,E0,18:30,1
2016-08-09,X2,23:55,3
2008-11-29,Y5,22:45,4
1952-12-11,P4,17:22,1
1966-01-26,W4,19:27,1
1964-06-24,N9,13:43,1
1959-05-02,N2,12:40,1
1968-12-27,T9,2:30,11
1992-07-27,U7,7:34,1
2012-11-04,P7,12:36,1
1976-01-29,D4,20:40,1
1987-08-14,V2,8:07,3
1973-02-21,S3,22:52,5
1956-12-17,Y8,19:48,4
1986-04-17,K4,18:42,3
1962-01-03,U1,16:34,1
1997-08-19,M1,16:11,1
1951-05-30,B1,20:25,3
2008-02-15,Z1,6:55,6
1953-04-12,S4,4:01,3
1974-05-17,T2,1:14,3
2015-06-23,H8,17:58,8
2013-03-22,T0,9:43,7
1986-06-02,W3,21:26,1
1952-09-06,X1,18:52,6
1974-12-11,U6,18:29,1
1989-08-28,B2,15:39,1
1952-11-19,A1,7:52,9
2016-08-07,P8,1:52,1
1950-07-14,J1,23:19,1
2007-02-02,B3,22:30,1
2008-10-23,J5,9:35,11
1987-04-05,H0,19:07,1
1959-12-09,Q5,22:24,1
1986-08-02,A9,22:23,7
1977-12-30,T3,22:37,1
1999-02-18,L6,20:30,1
1971-11-16,P0,17:52,4
1993-08-13,X4,7:24,1
1962-03-15,S2,0:17,1
1985-03-26,V5,18:29,1
2002-08-19,X4,23:53,1
1971-01-22,F7,8:59,1
