language,personID
Azerbaijani,169347
English,131820
English,159326
French,83688
Hebrew,54791
English,62892
Mandarin,107465
Bengali,70001
Arabic,96488
Spanish,121184
French,46076
German,102134
English,10626
English,83029
English,34808
Cambodian,78322
Danish,41351
German,15351
Czech,42087
German,21246
Spanish,89986
Greek,32459
Yiddish,150478
Arabic,72247
English,107074
Albanian,117445
Mandarin,165052
Croatian,155940
Bengali,126093
Japanese,141689
Bengali,128131
English,153257
Spanish,53516
English,72155
Spanish,170287
French,17404
English,151984
English,163224
Czech,53542
French,52227
Turkish,126562
English,62077
Turkish,154927
Spanish,18389
Spanish,81997
English,47130
German,82135
English,121803
English,4782
Arabic,143210
English,138489
French,148099
English,127662
Taiwanese,38916
English,163041
English,67193
English,88048
French,26142
Shanghainese,48358
English,41547
English,24621
German,75376
Czech,168906
French,119282
French,115574
German,55729
English,89617
Swedish,124080
English,131866
English,16606
Greek,27005
English,52991
English,53937
German,82675
Japanese,25080
English,107073
Arabic,39579
Russian,66969
English,106869
Korean,120602
Catalan,127485
Bengali,145787
Estonian,36238
English,127661
Spanish,873
German,88443
Finnish,17106
Czech,25730
French,137845
Mandarin,6754
English,11716
Yiddish,127860
English,89673
Mandarin,66378
Russian,37777
English,15051
English,30609
French,111585
Slovak,95216
English,116198
Japanese,97988
Assyrian,129662
French,154015
Hungarian,48680
Spanish,117738
English,103517
French,41730
Spanish,42619
French,150521
Portuguese,57688
French,16518
English,120307
Maltese,47158
Spanish,2457
Russian,124765
Mandarin,83338
Swedish,137089
English,63448
English,20236
Spanish,159589
Albanian,150705
English,106581
Macedonian,42438
Portuguese,76706
Mandarin,42564
English,50528
English,71084
Italian,164287
Italian,151146
Spanish,140070
English,100843
Serbian,128995
German,43859
German,17733
Afrikaans,126708
Estonian,43809
English,61337
Spanish,72404
English,84284
Hindi,8994
Russian,67256
Spanish,168843
Somali,27523
English,73355
Portuguese,64397
French,41164
Macedonian,15409
French,53524
Spanish,152248
Portuguese,37632
Spanish,103992
Italian,127875
English,97593
English,84969
English,136849
Spanish,90328
English,100845
Russian,133034
Basque,6645
French,19970
German,157369
Spanish,28858
French,161745
Mandarin,60184
Greek,28953
Maltese,150490
Italian,30658
English,164366
German,65851
Spanish,151215
English,23300
English,128773
German,127018
Chao-chow,68560
Basque,89861
Mandarin,164198
English,132462
English,156350
English,51001
Russian,18801
English,125964
Danish,36119
English,58797
English,130004
French,145424
English,147266
English,92754
English,12039
Mandarin,85249
English,93888
English,64202
Finnish,49154
English,11530
English,19900
French,61378
English,155913
Vietnamese,125425
English,64485
Mandarin,45754
Spanish,27301
Dutch,36547
Spanish,16053
French,89758
Russian,83242
English,48160
Arabic,159954
English,96083
Japanese,34155
English,137213
English,14034
Moldavan,120277
Spanish,54185
German,144204
French,140170
German,23095
German,19204
Bengali,98882
Maltese,68534
Mandarin,81024
French,10369
French,116422
Hindi,147447
English,105367
English,97901
German,73695
German,20207
French,4258
English,28424
English,2511
Finnish,142958
English,8362
Ukrainian,101878
German,36378
Spanish,165655
Russian,154461
English,168282
English,143040
Spanish,3364
Spanish,108632
English,166201
English,31259
English,132865
German,105494
French,149844
French,65545
Kosovan,117993
English,87537
Georgian,87101
Spanish,137664
English,21200
Russian,147661
German,111993
English,115836
French,129598
Maltese,55589
English,41339
English,2870
English,73236
German,130687
English,8248
English,98319
French,121751
English,95318
Japanese,64550
Bengali,14033
English,143916
English,155160
English,145770
Spanish,124793
Spanish,104239
Arabic,121039
English,33602
Mandarin,155978
French,17882
Cakchiquel,117090
Sundanese,142627
Spanish,141703
French,157404
Japanese,124138
Croatian,18044
Spanish,102618
German,135505
Cakchiquel,86785
English,169865
German,167410
Estonian,167162
Lithuanian,135409
Uzbek,61769
Croatian,145782
Uzbek,50892
Georgian,12101
Kyrgyz,80749
English,109592
Kazakh,114755
French,16981
Mandarin,23299
English,27026
English,156940
Spanish,53700
Mandarin,77268
English,138076
English,149654
Somali,129295
English,86605
Bengali,111751
Finnish,157487
Hindi,63773
Italian,78078
Spanish,73688
German,17551
French,51115
Spanish,53583
Ukrainian,30847
Danish,26829
Bulgarian,70152
German,55625
Italian,108455
Berber,73264
Arabic,57331
English,91684
French,129869
English,144632
English,52862
Mandarin,106327
Italian,162292
English,2774
Mandarin,69460
Russian,143585
Spanish,20559
Mandarin,43990
Spanish,151969
Dutch,116984
Nepali,41188
Korean,133989
Japanese,41481
Vietnamese,103098
Spanish,24150
English,60448
Georgian,1725
Mandarin,84654
Russian,4717
Sundanese,168106
English,150581
German,116484
Mandarin,41349
Hindi,127226
English,67891
French,12668
Mandarin,168532
Arabic,123347
English,57777
Mandarin,43597
Ukrainian,102660
Spanish,121195
Italian,134419
French,111389
Spanish,69703
Croatian,118897
English,126232
English,118514
English,114709
Greek,19146
Japanese,132170
French,138370
Spanish,120238
Portuguese,71872
English,36137
Jakartanese,137195
Spanish,104692
Finnish,6963
Japanese,8463
Danish,95174
English,70593
German,122059
Kyrgyz,79516
Spanish,109001
French,12390
Mandarin,76374
English,100726
English,48313
Portuguese,8147
French,72312
Portuguese,91488
German,24826
Bengali,127203
English,105021
Greek,167864
Korean,124450
French,78055
Mandarin,99661
Afrikaans,51557
French,130684
Portuguese,94849
English,49984
English,114337
Hindi,84426
Serbian,149577
Montenegrin,148487
Spanish,160282
Spanish,60935
Hindi,33572
Bengali,105314
Arabic,1700
Portuguese,119808
Bengali,7720
Hebrew,72290
English,60613
Korean,156442
English,33698
Mandarin,97293
Turkish,23831
Hindi,133516
English,133572
Bengali,95509
Mandarin,61157
Mandarin,95318
French,95086
Korean,47080
Turkish,151792
French,163397
Macedonian,73199
English,57819
Estonian,130944
Spanish,102351
Berber,54545
Bengali,58793
English,3665
Greek,88591
Mandarin,111920
Moldavan,85947
Spanish,106871
Mandarin,93131
Serbian,104357
Japanese,71777
Spanish,155043
English,115999
English,157934
German,165967
German,15607
French,156015
Thai,77976
Spanish,43802
English,148741
English,134525
Hindi,98868
Mandarin,35556
Spanish,171551
German,163737
English,136294
English,79241
Bengali,14168
Spanish,122092
Yiddish,36731
Bengali,119482
Uzbek,97278
Hindi,46793
English,63605
English,139985
English,61334
Mandarin,162085
French,60093
Portuguese,123388
Italian,144900
English,50029
Spanish,131275
English,101399
Bengali,119870
English,73993
Cakchiquel,107471
Hindi,107557
German,100690
French,3107
Danish,72389
Portuguese,40470
English,110353
Uzbek,157882
Bengali,34002
English,71538
Spanish,8703
Russian,67893
English,93270
English,1518
Arabic,51928
French,52859
English,73513
Spanish,166694
Turkish,125822
French,69130
Yiddish,74113
German,97796
Lithuanian,39016
Spanish,117909
Hindi,81640
Italian,68015
Hungarian,115471
Kyrgyz,1154
French,128481
French,32583
English,158225
Spanish,8339
English,47518
