duration,planeID,mechanicID,date
37,591,366,1990-05-26
75,6450,188,1988-10-15
18,15199,238,1980-05-11
48,14369,122,2018-09-24
50,9636,294,1994-03-03
64,6813,312,1975-02-07
54,11741,94,1984-05-31
42,5407,81,1972-10-19
12,12444,126,2004-05-26
71,5581,315,1985-01-11
33,5733,222,1969-05-27
47,6322,65,1996-01-18
33,12093,303,2010-03-06
79,3931,56,2005-09-16
66,10036,366,1978-08-19
43,8460,299,1993-06-19
76,6421,185,2019-12-12
49,724,345,1965-08-04
72,2592,287,1977-04-16
28,6584,200,1975-05-13
79,16554,262,1978-08-09
2,12756,24,1967-10-21
20,14020,121,1998-08-24
44,16639,162,1964-02-26
23,10451,50,2019-03-24
7,2089,342,1970-07-04
29,4272,310,2008-08-08
34,10876,116,2020-02-03
80,14713,85,1961-09-19
19,9412,101,2011-01-14
30,11969,162,1986-09-24
58,6281,146,2011-12-07
73,4824,8,1988-10-21
21,15626,44,1961-05-12
50,14048,205,1968-09-05
9,3041,308,2006-01-01
19,14749,182,2010-01-20
11,13172,216,2019-07-04
24,12786,250,1971-04-18
48,16411,307,1981-05-05
32,7507,109,2009-06-17
46,3208,179,2019-11-14
48,13938,90,2012-03-16
7,3116,232,1969-01-07
14,13604,257,2016-11-28
76,8709,264,2010-07-08
39,15522,30,1987-09-21
73,1071,85,2004-03-28
64,6223,296,1962-12-04
20,1207,269,1967-08-22
24,1760,308,1964-12-10
41,14609,285,1997-09-14
78,4705,18,1979-09-04
57,3004,343,1971-02-15
63,16110,310,1961-09-13
42,2053,136,2013-10-06
10,12073,211,2016-02-09
78,5860,335,2014-08-09
66,1618,131,2002-07-19
26,1959,230,2014-02-06
26,249,98,1996-12-13
61,2599,53,2015-07-22
32,3410,20,2016-10-10
47,2170,255,1993-02-24
44,2832,274,2003-10-01
54,3032,156,1992-10-09
5,13491,71,2006-06-20
64,16686,151,1981-08-24
62,12646,269,1982-09-12
69,10399,59,2011-08-11
17,10376,303,2000-12-16
46,12045,125,1998-10-06
59,6874,48,2014-11-30
26,12608,341,2002-08-18
3,12333,317,1964-09-02
57,7351,268,1997-03-11
23,2115,327,1989-06-04
66,13881,265,1980-02-13
75,15613,264,2015-01-27
65,11362,100,1961-12-08
59,5565,244,1988-10-10
51,13000,143,2019-06-12
20,7454,349,1962-09-21
5,15658,148,2008-02-07
51,15426,27,1990-09-15
20,1612,41,1974-08-12
3,2100,73,1983-05-13
55,10799,75,1991-03-30
8,15852,221,1966-12-27
39,2351,212,1972-11-28
12,3091,82,2014-05-03
38,4436,281,1977-02-03
33,15787,227,1992-03-09
3,14229,366,2019-11-10
73,11870,180,2014-02-20
44,2239,142,1992-07-26
43,1861,230,1964-04-04
19,15019,211,2013-12-09
58,12365,216,2006-12-16
7,11274,239,2019-09-24
7,14274,224,1987-11-16
62,5126,95,2011-10-22
71,15799,309,1995-05-22
30,13611,53,1964-04-08
6,2750,167,2012-06-01
44,1470,250,1981-10-26
19,3051,36,1984-02-20
52,7267,167,2017-05-04
51,2072,321,2015-09-16
11,4613,243,2005-08-28
62,14928,309,2015-03-13
10,1607,352,1974-10-29
13,3625,306,1994-10-20
72,12013,162,1973-10-27
54,16174,151,1999-04-05
79,16029,161,1998-12-19
53,15951,369,1966-08-01
75,16127,11,1969-08-19
74,9000,346,1966-12-14
72,13723,264,1999-03-01
32,13545,211,1993-10-29
10,5780,189,1993-03-25
23,6213,365,1993-05-17
55,12182,215,1968-11-27
69,4024,111,2010-10-10
26,6344,165,1982-09-08
35,14754,184,2019-07-28
22,2369,145,1986-06-24
6,443,189,1997-10-26
36,15138,22,1967-04-24
34,1902,30,1976-08-03
22,13584,176,1997-07-08
30,12391,119,1969-12-02
50,2156,100,1975-06-26
24,11933,182,1974-02-23
55,5240,109,2013-04-05
55,5758,141,1969-08-03
43,13103,134,1964-05-15
20,14828,334,1972-10-13
26,13497,118,2015-10-11
5,2649,70,2016-08-03
7,8977,153,1976-06-28
25,9950,95,2016-10-25
62,1628,225,1963-04-20
29,2622,170,2020-09-27
79,3257,32,1970-05-14
18,8086,291,1981-12-06
47,3358,332,1982-03-23
33,2811,193,1975-03-23
16,8850,368,2012-03-16
10,12721,50,1999-12-26
17,7829,130,1977-02-02
64,7137,15,1987-04-01
37,9739,205,1993-01-10
12,12536,370,1978-06-17
55,6339,98,2020-04-28
68,9435,176,2000-10-23
20,1977,18,2013-03-01
68,13163,27,2008-04-28
40,12340,71,1979-07-11
73,2269,104,2018-07-22
80,2588,322,1994-08-04
47,12291,168,1968-07-13
47,525,232,2001-08-15
43,11689,70,1997-12-10
24,8481,352,1992-02-13
69,8954,359,2001-04-04
73,7312,202,2009-04-25
80,717,24,2018-02-16
31,13553,77,1973-02-21
30,10044,186,1990-08-17
15,11413,153,2015-10-02
11,3795,195,2019-04-15
23,6313,46,1990-04-02
48,7335,19,1997-12-28
22,15666,225,1976-02-04
76,11290,287,1976-12-03
7,13995,45,1980-07-01
17,1736,239,1968-04-15
31,7273,253,1969-03-22
42,12394,285,1968-08-21
20,13389,151,1972-09-11
18,3129,37,1967-01-05
69,1228,258,1998-03-10
16,321,125,1966-03-14
61,3779,55,1965-09-08
74,16007,156,1983-02-13
60,1437,190,2005-04-20
70,4995,275,1964-06-26
