starting_year,retirement_year,airlineID,rent_airlineID
2015,2036,14793,
1962,1969,2777,
1992,2005,10783,
1976,2020,1654,
1958,1990,3079,
1971,2007,2292,
1970,1994,3850,
1984,1985,15652,
2020,2046,12582,
2012,2052,11095,
2006,2052,15635,
1959,1971,3748,90
1961,1999,6556,
2015,2039,20978,
1998,2021,11095,
1992,2027,6262,
1985,2021,11548,
2012,2016,3411,
2016,2057,19194,
1951,1960,263,
2004,2018,13128,90
2012,2033,15035,
2021,2066,5845,
2014,2055,17467,
2013,2019,12021,
1982,1994,1221,
1962,1999,12390,
1958,1986,8113,1355
1958,2002,8549,
1971,1978,16664,
2019,2064,392,
1996,2019,17191,
2014,2042,15338,3090
2011,2015,20409,
1983,2024,15266,
2011,2058,19030,
2004,2037,18036,3320
2002,2010,13100,
1977,2010,10529,
1962,1989,15280,
2004,2026,17885,
1993,2037,16137,2009
1992,2016,4026,5209
1967,1980,11051,
1977,1989,19929,
1989,2007,13006,
1967,1979,19336,
1962,1973,961,
1985,1986,12893,
1995,2045,7569,
1959,1972,17407,
1995,2027,9424,
1984,2004,18148,
1988,2036,8218,
2011,2031,18058,
1983,1991,17153,
2003,2016,19901,
1995,2012,18387,
2005,2038,12203,1355
1965,2010,5942,
1951,1989,1505,
2012,2042,845,
1973,1998,18747,
2018,2056,6868,
1958,1984,17144,
1958,1995,2053,
1959,1991,6135,
2017,2042,21301,
1993,2036,6877,
2006,2026,8908,
1972,1981,11043,
1998,2005,7655,
1965,1970,20014,
1962,1978,17983,
2008,2015,12886,324
1978,2011,857,
2007,2039,12343,1797
1953,1973,3705,
1976,2008,6179,
2018,2049,5662,
1981,1987,5138,
1967,1997,20381,90
1959,1990,17311,1797
1959,1962,11819,
1978,2012,9634,
2006,2027,17554,
2011,2013,331,
2009,2037,20668,
2000,2007,6002,
2021,2052,18447,
2016,2034,11927,
2012,2029,15583,
2015,2037,20413,
1959,1966,4355,
2006,2046,5369,
1961,1989,14750,
1990,2014,7274,
1987,2005,54,2009
2000,2028,17421,
1957,1985,1312,
1978,2007,19902,
1976,2001,1164,
1984,2024,11317,
2010,2047,3374,
2011,2024,5135,
1985,2025,2391,
2000,2047,15002,
2011,2060,10907,
1976,2004,10489,
1986,2022,7732,
1989,2026,20087,
2019,2056,7353,
2019,2055,18902,
1976,2022,12748,
1960,1964,6780,1797
1991,2018,9441,
1982,2001,16555,
2003,2026,19484,
1971,1975,17234,
2019,2043,21750,
1993,2035,16357,
1997,2028,16433,
2012,2020,12974,
1975,2001,10371,
2017,2060,20812,4296
1994,2003,13262,
1989,1995,4629,
1996,2018,13522,2822
2008,2023,8520,
2006,2030,17543,
1996,2043,13789,
1965,1995,4401,
2016,2020,21341,
1972,1977,8853,
1957,1979,12655,
1999,2030,21553,
2011,2029,8279,
1992,2024,5904,
1965,1992,952,
2002,2007,2076,
2007,2033,10205,
1961,1989,19515,
1970,1978,13075,
2001,2021,11030,
1998,2035,17894,
2021,2029,14480,
1950,1987,919,
1979,1980,19997,
2021,2071,13666,
1972,2003,11524,
1953,2003,17175,
2017,2065,17613,
1962,1981,19229,
1996,2009,10675,
1970,2007,2007,
1970,2019,3230,
1956,1990,14443,
1955,1989,17120,
1983,2001,20122,1797
1976,2003,3770,
1995,2018,6006,
1963,2013,3983,
1979,1984,13307,
1962,1969,11025,
2016,2061,13420,
1990,2011,14101,
1998,2034,6409,
2017,2064,21224,
2009,2035,20968,
1964,2002,10594,
1979,2013,17404,
1992,2034,1890,
1959,1965,21013,
1974,2017,5346,
1979,1985,8669,
1969,2019,21728,
2019,2069,11968,
1952,1998,3192,
2003,2007,16399,
1969,1995,7192,
1968,1973,775,
1967,2012,4571,
2020,2061,2213,
1967,1986,20795,
1991,2031,5155,
2008,2032,7561,
1999,2004,7891,
2012,2044,17735,
1968,1996,3200,
1975,2008,17904,2009
1950,1984,1343,3320
2011,2030,3726,
1979,2008,3951,5352
1996,2020,15900,
2018,2054,6453,
1958,1981,19306,
1997,2039,19005,
1968,1972,7984,
1997,2019,14174,24
2016,2025,5939,
1969,2007,3853,
1999,2020,10088,
1951,1976,1709,
1987,2036,18431,3320
1961,1993,6642,
1973,1997,3866,
2020,2062,12336,
1993,2010,5154,
1965,1995,7052,
2012,2044,7378,
2009,2040,11059,
2015,2038,15830,
1965,2001,11822,
1997,2043,6515,
1959,1999,17141,
1964,2009,12968,
1965,1999,15701,
1964,2000,19159,
1964,2004,21615,
2011,2052,3570,
1974,2004,14093,
2011,2033,12361,
1964,1976,16112,
1970,1979,13009,
1956,1960,5970,
2011,2017,4574,1797
1976,2002,19463,
2008,2011,2112,
1978,1981,19551,
1975,2010,13890,
1954,1959,2174,
1995,2002,3700,
1996,2043,20289,
2020,2037,709,
2019,2028,8030,324
2004,2050,18050,
1991,2021,2028,
2010,2045,11105,1355
1953,1987,19455,
2007,2032,5532,
1984,1994,5166,
1999,2028,2858,
1968,1973,12843,
1975,2000,514,4296
1952,1991,13338,
1976,1978,18310,
1995,2040,14472,
1963,1988,18609,
1999,2016,11008,
1954,1998,12379,
1988,2006,1677,
2011,2050,2446,4296
2003,2036,19494,
2003,2023,3931,
1997,2041,8871,
1992,2036,11788,
2015,2044,21518,
1982,1992,8436,24
1959,1973,21102,
1992,2019,12207,
1993,2020,17906,
1990,2038,19982,
1969,2012,19511,
1998,2017,19914,
1973,2001,13165,
1969,1976,8118,
2019,2052,1273,
2016,2047,3712,
1986,2034,13304,
1971,1973,12989,
1973,2009,12417,
2006,2051,5601,
1966,1968,8970,
1954,1987,19790,
1997,2004,6947,
2010,2059,6154,
1977,1980,1861,
1961,1994,20264,
1950,1983,8195,
1992,2033,7667,
1988,1998,7943,5352
1952,1985,15649,
1972,1976,3504,4296
1994,2003,9538,
2006,2007,9598,
2009,2027,10886,
1966,1972,5131,324
1981,2025,16739,1355
1950,1987,3673,
1983,2015,19025,
2015,2021,20580,
1991,2014,9924,3090
1998,2005,12408,2822
2018,2043,2880,2822
2007,2009,6289,
2001,2027,21196,
1968,2000,19491,
1965,2005,15454,
1978,2004,14205,
1988,2008,17871,
1986,2032,21338,
1997,2040,20574,
2011,2015,11659,
2012,2045,8105,1797
1967,2015,11094,
1961,1969,2254,
1961,1986,3613,
1954,1991,12136,
2016,2020,15109,1355
1977,1990,6488,
2015,2022,21101,
1970,1982,4812,
2016,2028,11179,
1997,2010,9081,
1983,2024,19633,
1986,2021,9837,
2019,2056,17542,
1979,2002,3523,
1970,2019,2512,
2012,2024,5927,
1986,1994,15169,
1956,1978,9450,
1963,1975,16317,
1992,2027,733,
2017,2030,1065,
2011,2050,11222,
1979,2012,6427,
1980,2003,21729,
1996,2014,4899,1355
1963,1985,14793,
2015,2061,17553,
1985,2020,6430,
1964,2004,4744,
2017,2028,16353,3090
1983,2012,7943,
1972,1980,4759,
1997,2044,2670,
1983,1998,12258,
2021,2044,4815,
1971,2014,9319,
1998,2005,16548,
1958,1985,1058,24
2002,2012,1606,
1959,1977,5703,
1962,2001,9255,
1951,1975,5,5352
1950,1966,336,2183
1951,1977,3499,5352
2011,2029,11680,
1975,2019,12063,
1967,1968,17790,
2019,2039,15450,
1997,2027,9314,
1970,2010,6331,
1968,1970,20202,
1951,1955,18110,
1997,2036,21168,
2014,2041,3137,
2015,2065,13860,4296
2020,2062,17874,
1959,1996,13191,
1977,1989,5452,
1968,1985,9494,
1972,1985,10821,
1967,2006,17063,
1974,1993,17406,
1991,2020,19310,
1987,2023,11263,
1996,2046,4442,
1964,1995,20768,
1987,2019,14558,
1953,1986,17645,
1967,1968,17627,
1999,2014,5067,
2004,2010,6041,
2012,2038,3513,90
1963,1992,5322,
1962,1965,6818,
1979,2001,3236,
1977,1978,7970,
1963,2000,20393,
2000,2033,2253,
1962,1998,17967,
1955,1975,18117,
1990,2035,18845,
1972,1997,9802,
1989,2025,21541,
1960,1990,2964,2822
1998,2027,5271,
1967,1972,5301,
2008,2056,11364,
1956,2002,13153,5209
2003,2013,12099,
2015,2027,18717,
1997,2023,17135,
2011,2045,12671,
1955,1975,8294,
2016,2019,3535,
1972,1977,2197,2822
1985,1996,4891,
1967,1992,8104,
1979,1986,18778,1355
1987,2002,14739,
2012,2040,14428,
1951,1980,18466,
2005,2038,1237,
2007,2052,1578,
1969,1975,20799,
1984,1990,21080,
1991,1994,4992,
2018,2029,6918,
1978,1994,18519,
2009,2033,8384,3320
1982,1991,4094,
2000,2036,7105,
1996,2022,16257,
1954,1973,14378,
2000,2005,5114,
1980,2005,7230,
1967,2000,6751,
1961,2002,13730,1797
1993,2006,471,
1999,2036,8451,24
1959,2004,20223,
1969,1995,18729,
1950,1972,9350,
1968,2009,20167,
1984,2015,7567,
1994,2041,18669,
2011,2012,16962,5352
1975,1984,16772,
2009,2027,2718,
1992,1999,9914,
1977,2026,10416,
2017,2046,19593,
1954,1968,7287,
1990,1994,2014,
2011,2049,14304,
1959,1979,2122,
1987,2027,13841,
2007,2035,1545,
2017,2041,16081,
1961,1966,14946,
2021,2056,17387,
1955,1973,9857,
1951,1961,19811,
1992,2013,3789,
1994,1998,20640,
1959,1994,13631,24
1996,2002,17998,
1980,2030,18619,
2017,2054,16308,
1990,2034,10541,
1986,2029,13279,
1952,1989,19906,
2015,2032,6953,
1977,2014,8232,
2014,2058,7875,
2003,2009,18331,
1974,2021,8344,
2000,2007,15502,
2020,2045,8865,
1995,2018,4422,
2008,2039,19729,
1977,1983,14935,
1984,2010,1329,
2007,2025,5477,
1960,1976,8408,
2013,2044,16493,90
2018,2042,17055,
1956,1989,6394,
2014,2015,17517,
1972,1977,2811,2009
2021,2064,9085,
1963,1990,16763,
1986,2017,8378,
1981,2026,11662,
1992,2026,7383,
1966,1996,6196,
2012,2057,16039,
1954,1955,14955,
1982,2004,3309,
2018,2056,5813,
1971,2003,21316,
1954,1974,54,3320
1967,2002,13559,
1993,2011,11194,
1952,1969,1087,
2006,2035,17469,324
1999,2031,5761,
1959,1987,7482,
1963,2012,12925,
1951,1996,4194,
1972,1973,14831,
1970,1978,5048,
2011,2053,13089,
1957,1984,10005,
2013,2025,9161,
1968,1970,16506,
2021,2053,4264,
1978,2015,13948,
2006,2017,18531,
2010,2017,14426,
1956,1990,3242,
2000,2007,7027,2009
1976,1990,15323,
1997,2021,15842,
2012,2030,19706,
1994,2024,1011,
1991,2031,1433,
1989,2029,6575,
2002,2050,4463,
1955,1993,12405,
2013,2039,7861,
1958,1970,18488,
1978,2014,16992,
1998,2027,19257,
1964,1975,18595,3320
1972,1994,6324,
1985,1989,16126,324
2013,2062,2719,4296
2000,2040,8059,
1995,2015,19183,
1994,2025,18868,
2021,2053,6304,
1988,1993,18848,
1986,2017,20666,
1954,1981,4188,4296
1974,2010,5708,
1962,1975,6706,
1969,1983,21332,
1972,1989,21570,
1983,1997,10597,
1978,2002,19170,
2018,2054,5064,
2007,2032,1918,
1961,1985,7149,
2011,2050,10169,
1961,1998,8198,
1995,2009,7015,
1989,2010,19802,
2001,2019,12334,
1995,2031,11188,
2005,2037,3961,5209
1998,2016,11741,
1952,1960,2010,
2015,2032,4097,
2019,2060,3351,
1980,1982,4161,
1975,2017,12149,
1997,2028,17560,
1951,1965,1941,
1968,1998,4904,
1976,1997,18904,
1978,2026,18979,
1980,1991,3113,
2015,2050,13287,
1980,1994,16400,
2006,2009,1521,
1956,1973,13865,
1980,2015,19634,
2011,2018,12264,24
1960,1971,632,
1969,2016,13354,
1963,1975,6894,
1969,1983,146,
1989,2012,15560,4296
1997,2045,19722,
1979,2006,5898,
1973,2022,5163,
1995,2032,6844,
1951,1968,1550,
1963,2000,18491,90
2019,2043,458,24
2013,2048,11533,
2013,2056,6593,
1991,2030,2772,
1987,2030,11041,
1972,1981,6868,
2006,2026,3110,
1963,1975,17032,
2014,2029,13805,
2009,2042,1380,
1951,1971,6905,
1990,1996,20783,
1972,2000,15748,
1976,1983,13877,
1977,1990,15998,
2002,2024,8235,324
2006,2015,11815,
1989,2003,11940,
1996,2024,15627,
1958,2008,15685,
2010,2027,20865,
1983,2016,15113,
1966,1974,2111,
1974,2012,5370,
1966,1971,6635,
2004,2010,8628,
1992,2036,7337,
1988,1989,19432,3320
1960,1989,7263,
2004,2034,1340,
1965,1980,21639,
1968,2008,16125,
1967,1989,10768,5352
1981,2014,13003,
2006,2045,2995,
1981,1985,7988,
2004,2042,17406,
1982,2005,20515,
1992,2030,11868,
1979,2021,5022,324
1962,1984,14276,
1953,1988,17119,
1982,1983,4288,
1993,2002,8530,
1967,2012,17519,324
2012,2040,12288,
2002,2025,577,
1995,2020,9498,
1951,1958,14080,
1970,2010,5761,
1959,1979,1162,
1956,2005,15370,
1992,2005,17401,
1971,1994,20957,5352
1993,2005,2690,
2014,2024,12611,
1964,1991,21326,
1968,2000,3875,
1974,1991,15586,5209
1984,2022,1433,
2018,2034,1531,
1979,1982,12367,
1977,2016,5195,
2011,2038,8128,
2020,2064,10773,
1952,1994,3992,
2004,2047,19931,
1985,1996,8632,
2000,2024,7977,
2008,2055,9489,
2010,2041,11137,
1965,1978,7528,
2015,2057,1565,
2003,2032,12622,
1980,1998,2965,
2011,2028,7652,
1977,2027,11694,
1955,1985,8762,
1995,2017,7854,
1982,1992,15182,
1969,1997,20721,
1990,1991,19077,
2000,2014,4279,
2018,2044,18663,
1952,1955,9421,
2012,2019,18538,
1991,1992,1866,324
1958,1976,7265,
1992,2041,3414,
1968,2013,16195,3090
1959,1965,18129,
1962,2000,2750,
2021,2061,1626,
1985,2027,5853,
1964,1971,15974,
1957,2006,10078,
1995,2019,16247,
1965,1986,8047,
1987,2030,10175,324
1975,1981,18263,
2009,2037,6500,
1989,2021,15574,
1993,2041,12260,5352
1952,1969,5165,
1952,1973,11963,
1979,2016,13434,
1994,2011,16120,
2018,2026,19093,
1962,1993,14417,
1969,2001,3286,
1959,1998,19502,
1953,1980,15138,
1987,2015,7147,
1958,2008,1723,
2014,2032,397,
1968,1983,11964,
1965,1981,3792,
1977,2015,13366,
1996,2001,17385,
1973,2013,3537,
1996,2003,6574,
1952,1970,6372,
1970,1998,4312,
2005,2017,11879,
2008,2043,21545,
1964,1989,8100,
1962,1990,20727,
1994,2031,5504,
1968,1975,175,
1982,2002,15970,
1996,2019,18287,
1974,2002,4121,
1964,2005,10475,
1958,1967,20264,
1991,2007,9756,
2018,2068,7463,
2013,2035,17375,2009
2019,2025,21181,
1970,2001,10729,
1964,1974,15476,
1986,2010,16203,
1954,1967,1160,1355
2019,2058,9156,
1998,2010,15099,
1977,1989,18504,
2003,2041,4163,
2014,2037,18628,2183
1965,1976,6591,324
1963,1983,20441,
2005,2030,7696,
1990,2025,12896,
1951,1956,19277,
1965,2011,16840,
2010,2049,4468,
2020,2039,17187,
1966,1976,6435,
1997,2024,19618,
1976,1989,5630,
1975,1995,11526,
1974,1988,17913,
1954,1978,12069,
1985,1988,20989,
2002,2046,18731,
1991,2006,7380,
1971,1991,1939,
1979,1988,1825,
1976,1995,17730,
2004,2018,18393,
2006,2053,20066,
2012,2038,19968,
2014,2059,20704,
1962,1994,4676,2822
1977,2020,16606,
2007,2014,7482,
1970,1987,4314,
1971,2007,6385,
2000,2028,11803,
1980,2016,1928,
2017,2063,4244,
1977,1985,6418,
1995,2012,21295,
1956,1957,12278,
1993,2018,11456,
1988,2012,2563,
2009,2034,21239,
2002,2043,14524,
2016,2063,5652,
1993,2025,11145,
1968,2002,7006,
1950,1970,13261,
2012,2024,11999,
1950,1984,14582,324
1992,2027,14383,2009
1973,2014,588,
2010,2046,2406,
1966,2007,9952,
1962,1970,17778,
1962,2000,5909,
1953,1999,14247,
1971,1999,10628,
1964,1968,3432,
2002,2029,16424,
2011,2032,17982,2822
2015,2044,2522,
2012,2015,13967,
1978,1996,11673,
2011,2023,11081,
1983,2029,7495,
2002,2003,12076,
1972,1985,10530,
1966,2004,12309,
2012,2028,908,
1986,2006,10572,
1968,1988,8597,
2011,2027,17116,
1991,2034,2990,
1997,2036,18049,
1979,1986,19033,
1957,1981,4442,
1977,2008,1941,
1953,1959,15820,
1994,2044,4072,
2010,2034,16654,5352
1975,2009,7395,
1962,1976,18492,
1958,1959,5996,
1960,1967,9598,
1993,2022,19849,
1969,1984,9097,
1966,1990,15955,
1976,2000,6224,
2017,2047,5689,
1997,2032,10511,
1987,2031,91,
2000,2007,17578,
