airlineID,planeTypeID,starting_year,index,retirement_year,rent_airlineID
2297,15,2000,3,2030,
12978,15,1975,1,1983,
5309,17,2009,1,2019,2822
330,149,1962,3,1991,
2297,13,2004,4,2044,324
3378,75,1974,1,1983,
2987,21,2011,2,2028,
596,95,2000,2,2016,
1889,170,1985,1,1995,
751,75,1951,2,1969,
2987,90,1974,5,2023,
4296,75,1996,2,2012,
4259,171,2007,3,2031,
1203,182,1993,1,2002,
3290,6,1952,5,1997,
1680,13,1956,3,1984,
2660,75,1987,4,2022,
1758,13,1990,5,2036,
1889,15,1978,5,2025,
5281,93,1959,2,1975,
4867,19,1957,5,1999,
2297,15,1969,3,1996,
576,15,1950,5,1991,
753,149,1961,3,1986,
2009,75,1981,4,2014,
18643,15,1990,1,1999,
1758,64,1976,3,2003,
1908,6,2009,5,2057,
1758,15,1956,3,1986,2822
4296,75,2020,4,2055,3090
4305,13,2005,2,2022,
5322,170,1976,4,2012,
412,170,1994,4,2029,90
5309,94,1997,3,2025,
3320,82,2015,5,2057,
20976,74,1959,2,1976,
4608,17,1952,4,1991,
5085,7,2018,2,2035,
5352,15,2008,1,2017,
5209,151,1998,2,2017,
751,75,1957,4,1995,90
330,54,2015,5,2057,
2009,93,2001,1,2009,
3210,103,1984,3,2009,
5067,70,1990,1,1999,1797
139,20,1955,1,1964,5352
4611,15,2000,1,2010,
3185,70,1999,4,2036,
197,166,1969,5,2018,
2297,13,1982,1,1991,
24,123,2004,2,2024,
5213,13,1972,1,1980,
24,181,1958,5,1999,
3200,15,1973,3,2001,
9082,75,1975,1,1985,
4091,15,2019,5,2065,
5213,13,1962,2,1980,2822
3321,17,1985,1,1994,
2009,122,1992,2,2011,2009
28,15,1971,5,2011,
241,7,1978,2,1997,
5067,72,2009,3,2039,
4951,19,1993,1,2002,
20270,121,1966,1,1976,
5288,187,1988,2,2006,
4611,13,1989,3,2017,
751,64,1997,5,2045,
2988,166,1988,2,2005,
5213,13,1982,2,2002,1355
6557,13,2018,4,2055,24
2634,15,1969,3,1996,
1767,13,1989,3,2014,
567,21,2015,5,2059,
4599,70,2005,5,2048,
4867,15,1993,2,2011,324
4296,75,1987,3,2016,
5209,13,1950,1,1959,3320
4296,75,1972,3,1997,
4375,64,1961,1,1969,
4687,13,1968,5,2010,3090
3210,167,1969,2,1987,
3363,231,1992,3,2021,
5209,20,2018,4,2058,
1758,20,1974,4,2010,
5288,187,2014,2,2032,
330,170,1994,4,2026,
2923,186,1963,5,2005,
2942,75,1986,4,2023,
805,15,1954,5,1999,
2297,13,1991,3,2020,
4178,231,1960,5,2003,
3294,222,1997,1,2005,
3320,29,1974,5,2021,
5265,122,1968,1,1978,
596,188,1950,1,1959,
3090,20,1988,2,2005,
6183,186,1977,1,1986,
4599,75,1988,1,1996,
3026,70,1988,5,2036,
2922,186,2011,5,2059,
1790,75,2018,5,2063,2009
596,218,1985,2,2004,
4435,15,1980,2,1997,
3788,15,2001,4,2040,
5213,13,1964,4,2001,
1057,13,1992,2,2010,
4091,21,1954,5,1995,
5322,7,1977,2,1993,
4304,13,1966,1,1974,
5209,75,2004,5,2053,
2297,15,2000,5,2050,
4305,177,2012,3,2042,
1156,171,1970,1,1978,
137,15,1977,2,1997,
1355,82,1976,5,2025,
2923,186,1983,2,2002,
2988,97,1962,1,1972,
4374,74,1962,4,1997,
24,82,2003,2,2021,
1767,15,1953,1,1962,
214,75,1950,1,1958,
316,13,2016,1,2026,
2954,15,1992,2,2009,24
1767,15,1983,5,2027,324
4296,75,2019,4,2055,
4375,64,1992,1,2002,
4687,13,2008,5,2054,
