name,weight,companyID,price,forbidden_country1,forbidden_country2,forbidden_country3,forbidden_country4,forbidden_country5
Tresom,17.0,74,109,,,230,,
Zathin,0.91,63,176,116,104,,,
Biodex,5.06,79,245,,,24,,
Ronstring,10.73,87,130,,,,,
Subin,8.25,46,3145,154,,46,,
Prodder,4.97,152,15.96,,128,,,
Aerified,14.59,107,22.91,,,151,43,
Asoka,10.94,60,2,,179,,,
Lotlux,19.28,8,918,,,129,,
Lotstring,9.73,67,56,38,,,,
It,10.7,112,12.79,120,,,,
It,5.03,56,140,215,,,,214
Rank,7.04,134,33.87,147,,27,,214
Tampflex,5.49,19,3844,,121,,86,
Sonair,0.36,169,18.61,,,66,,
Transcof,2.98,40,973,,79,57,,
Matsoft,2.1,35,1084,,137,93,,
Trippledex,4.13,84,41,,87,130,,214
Flowdesk,4.6,161,4.0,,230,,,
Pannier,5.03,43,3518,,,,,
Stringtough,3.52,112,27.12,185,63,176,,
Home Ing,13.01,138,28.64,241,,113,,
Sonair,18.39,107,13.45,243,91,,,
Subin,10.18,18,2217,187,,,,
Sonair,14.65,28,3331,,146,,,
Latlux,8.37,58,308,,119,,,214
Zaam-Dox,7.82,151,12.68,153,8,,55,
Quo Lux,7.31,55,96,,196,,76,
Vagram,3.83,143,28.39,,,,156,
Aerified,10.78,146,38.47,,150,146,206,
Daltfresh,15.92,11,3488,135,46,,,
Job,7.06,88,279,,228,,,
Greenlam,1.42,24,3306,56,65,68,,
Redhold,17.41,81,201,,,,,
Konklux,1.26,18,1385,,122,,159,214
Voltsillam,4.28,26,1234,175,51,,,
Temp,19.6,55,259,,,,91,
Tempsoft,5.0,18,2397,,222,,,
Sonsing,14.88,35,820,24,27,44,,
Tresom,4.15,90,12,,181,,,
Prodder,1.38,34,1057,,172,,,
Voyatouch,11.43,88,109,188,181,,,
Hatity,16.87,6,1447,,,,,
Pannier,9.69,39,2494,247,,,215,
Subin,14.5,105,31.99,211,,151,,
Home Ing,9.38,102,36.88,,141,,,
