storeID,productID
621,6085
1881,15672
1030,10672
592,1241
944,15469
1666,16750
1717,16652
133,13659
464,1770
2351,13679
577,6836
146,1984
865,3266
1763,5719
941,15956
2317,15069
449,844
1265,10319
24,2139
1606,2856
1421,8434
1608,16010
373,7756
1748,12401
200,10728
2108,13306
1476,1452
2277,1161
294,6775
1762,14412
813,7291
625,9533
2313,13064
703,802
1909,2859
567,11038
1868,211
884,16905
86,8564
627,13037
1788,8605
1946,12164
615,10368
1539,3079
1627,7120
1627,6117
1255,13889
1739,7612
2095,12470
1477,16873
828,11696
806,11486
612,14226
1704,13872
1356,7023
1070,13784
505,2444
1482,6692
1785,14967
316,3111
99,284
1513,16139
39,16381
1579,8639
1744,8777
2343,2326
2316,11349
751,3030
1932,2253
1864,3116
1958,15296
1394,12186
2238,16003
2356,16633
2039,8300
273,7863
460,3139
1009,8520
1086,7653
1048,2401
1872,5438
1678,3752
2024,14999
1099,1037
2108,16007
2274,11760
284,13267
1665,7601
816,16027
1602,9916
1778,7253
442,12626
559,8741
1149,16828
1562,1175
342,10015
1703,9079
1901,14662
1412,15040
828,8939
468,1893
1494,15064
2272,6982
1219,8138
382,12663
1566,7254
1193,12224
2,3570
1121,11479
2003,10095
1974,234
2195,12611
377,13441
2055,13462
728,5893
1659,9708
1527,4706
281,9165
1931,11473
54,4767
40,9516
1686,10799
1854,1078
1066,5095
345,6687
1208,11438
1328,125
884,7955
391,15445
51,6674
1239,13258
1290,8054
385,9502
1494,601
1347,6131
317,2658
773,3403
537,1670
2114,10088
2159,13216
350,8512
1043,8202
1105,2398
1166,5308
1074,16885
213,10799
1117,6185
317,14679
1126,1417
696,3371
1027,10663
688,13908
2075,13260
804,2353
619,675
1708,7649
2117,15432
342,2504
2039,6270
965,760
2158,9884
2264,10351
1739,11002
177,8194
2169,14885
1615,14898
214,596
1010,1992
542,2725
1020,6972
1767,5583
1209,4099
742,6240
1326,2401
2162,6701
1361,11204
2162,12540
41,5970
1825,785
1870,1015
1036,10768
2268,9893
2330,6905
1082,2577
2313,6224
981,8536
122,8819
218,13451
201,5729
1883,9762
810,8582
2073,1116
826,8622
2069,16904
328,2783
1750,6022
1839,6673
407,1743
1554,14124
2124,16669
1763,175
1785,16539
575,8818
1282,9455
2185,3051
1205,12100
758,3843
328,8872
120,14597
356,10445
543,5451
719,10136
494,16039
557,11654
994,6356
1377,1270
34,16241
1961,7224
100,16047
1844,12808
1128,379
206,3307
912,13121
856,4429
1824,11902
616,13164
1264,3370
1000,6810
410,10416
662,3651
171,4354
1735,15428
2265,3534
1838,190
342,15849
1494,3965
261,11143
2199,4684
156,14368
284,5248
1331,15578
97,13015
760,9365
1395,14253
7,6993
541,8585
825,6304
190,10964
386,2894
719,8181
517,9127
1833,13345
349,9447
607,5787
1946,7513
1571,8599
2229,12259
1673,14504
1972,339
1597,4270
294,8462
2116,6764
1049,3632
1912,15114
812,778
1485,6346
2143,2612
1017,7788
388,4129
1566,2561
1723,681
2207,14446
124,15139
1462,5712
193,5378
782,5156
2186,14831
1552,7791
1573,14309
528,14556
1930,3864
1211,9143
1116,10921
1793,2270
366,4748
1267,6721
106,6396
424,3854
629,15066
2036,2299
765,9951
765,16178
1845,3077
2284,10885
820,10471
1802,14364
1174,6731
575,1364
1848,16297
1149,11867
962,6825
1587,15691
1590,883
1897,3929
835,15193
694,5053
938,4890
737,16089
1859,10726
1970,4948
2342,11752
951,7167
1589,11236
1704,4053
1496,8019
371,15237
80,13755
1453,7890
2259,5106
695,1713
1,282
579,11671
880,2139
767,15822
622,6280
294,10992
1149,4821
1168,6319
1628,8222
2001,9828
114,16563
480,3064
531,5982
748,7245
50,707
1506,98
2063,2510
18,9520
522,10176
977,16074
2314,7096
502,12290
2323,7448
2110,12103
28,14725
615,1239
2053,16502
1105,5046
200,11388
524,12607
472,14214
1427,11661
1459,6753
552,4368
1572,3133
1503,7394
1820,5267
1996,16334
841,8420
1263,15988
1107,263
1812,14012
789,3506
1494,12671
2213,12803
1266,12006
132,9209
265,8084
2295,14575
922,4162
1306,8032
103,8971
837,8082
1865,8396
1457,6720
1342,995
1640,10666
2048,7248
156,11386
1348,3173
