routeID,destination_airportID,departure_airportID,distance,minimum_petrol,time
1,3,1,NULL,NULL,NULL
2,4,1,NULL,NULL,NULL
3,2,1,NULL,NULL,NULL
4,5,1,NULL,NULL,NULL
5,1,2,NULL,NULL,NULL
6,3,2,NULL,NULL,NULL
7,4,2,NULL,NULL,NULL
8,6,2,NULL,NULL,NULL
9,1,3,NULL,NULL,NULL
10,4,3,NULL,NULL,NULL
11,2,3,NULL,NULL,NULL
12,3425,3,NULL,NULL,NULL
13,5,3,NULL,NULL,NULL
14,3428,3,NULL,NULL,NULL
15,3427,3,NULL,NULL,NULL
16,6,3,NULL,NULL,NULL
17,3415,4,NULL,NULL,NULL
18,1,4,NULL,NULL,NULL
19,3,4,NULL,NULL,NULL
20,3418,4,NULL,NULL,NULL
21,2,4,NULL,NULL,NULL
22,3424,4,NULL,NULL,NULL
23,3417,4,NULL,NULL,NULL
24,5,4,NULL,NULL,NULL
25,3429,4,NULL,NULL,NULL
26,3129,5,NULL,NULL,NULL
27,5225,5,NULL,NULL,NULL
28,3415,5,NULL,NULL,NULL
29,1,5,NULL,NULL,NULL
30,3416,5,NULL,NULL,NULL
31,3,5,NULL,NULL,NULL
32,3418,5,NULL,NULL,NULL
33,4,5,NULL,NULL,NULL
34,3425,5,NULL,NULL,NULL
35,3417,5,NULL,NULL,NULL
36,3429,5,NULL,NULL,NULL
37,3428,5,NULL,NULL,NULL
38,3427,5,NULL,NULL,NULL
39,3419,5,NULL,NULL,NULL
40,3,6,NULL,NULL,NULL
41,2,6,NULL,NULL,NULL
42,418,16,NULL,NULL,NULL
43,192,21,NULL,NULL,NULL
44,145,27,NULL,NULL,NULL
45,191,27,NULL,NULL,NULL
46,145,28,NULL,NULL,NULL
47,3475,29,NULL,NULL,NULL
48,3522,29,NULL,NULL,NULL
49,131,29,NULL,NULL,NULL
50,146,29,NULL,NULL,NULL
51,118,30,NULL,NULL,NULL
52,155,30,NULL,NULL,NULL
53,37,32,NULL,NULL,NULL
54,182,32,NULL,NULL,NULL
55,195,32,NULL,NULL,NULL
56,69,32,NULL,NULL,NULL
57,155,33,NULL,NULL,NULL
58,155,34,NULL,NULL,NULL
59,177,34,NULL,NULL,NULL
60,32,37,NULL,NULL,NULL
61,195,37,NULL,NULL,NULL
62,68,37,NULL,NULL,NULL
63,55,40,NULL,NULL,NULL
64,75,40,NULL,NULL,NULL
65,131,41,NULL,NULL,NULL
66,146,41,NULL,NULL,NULL
67,3475,41,NULL,NULL,NULL
